time,open,high,low,close,EMA,VWAP,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1777173000,77465.3,77465.3,77454.2,77454.3,77452.1534208209,77495.15537239668,54.27544012722651,38.69757221739311,,,,
1777173060,77454.3,77454.3,77454.2,77454.3,77452.63043841626,77495.09751443999,54.27544012722651,40.219791490443015,,,,
1777173120,77454.3,77454.3,77451.8,77451.8,77452.44589654598,77495.06018421293,46.15090753202925,41.76220616215339,,,,
1777173180,77451.9,77472.6,77450.2,77472.5,77456.9023639802,77495.0023867427,81.16611042300434,41.94482756446467,,,,
1777173240,77472.6,77487.2,77472.5,77487.2,77463.6351719846,77494.98335463526,88.8731620705952,45.79764909297324,,,,
1777173300,77487.1,77487.2,77487.1,77487.2,77468.87180043246,77494.97524518151,88.8731620705952,49.65047062148182,,,,
1777173360,77487.2,77498.9,77487.2,77496.3,77474.96695589191,77494.97207898925,92.91272341037894,54.00662168773954,,,,
1777173420,77496.2,77500,77496.2,77500,77480.5298545826,77494.98582221135,94.19750380321778,57.89851307391734,,,,
1777173480,77499.9,77500,77499.9,77500,77484.85655356424,77494.98895175879,94.19750380321778,61.75708836375465,,,,
1777173540,77499.9,77500,77474.9,77474.9,77482.64398610553,77494.71378573569,25.00619070400019,61.33861514781592,,,,
1777173600,77475,77487.5,77474.9,77487.5,77483.7231003043,77494.700597151,51.71333576413025,62.76263079342559,,,,
1777173660,77487.4,77487.5,77487.4,77487.4,77484.54018912556,77494.6951096561,51.495018548343886,65.5884003263678,,,,
1777173720,77487.5,77487.5,77466.4,77466.5,77480.53125820876,77494.66175574047,22.16272175916903,66.31900580294037,,,,
1777173780,77466.5,77466.5,77466.4,77466.4,77477.39097860681,77494.643640961,22.07248633145541,61.95512189104216,,,,
1777173840,77466.4,77476.5,77466.4,77476.5,77477.19298336086,77494.58744837929,51.80233161667374,61.77847128314553,,,,
1777173900,77476.5,77476.5,77450,77450.1,77471.17232039178,77494.53438141751,20.755741889339063,59.384207123296434,,,,
1777173960,77450.1,77450.1,77444,77444,77465.13402697138,77494.417232767,17.185865553074322,57.31527555337108,,,,
1777174020,77444,77448,77444,77448,77461.32646542219,77494.33766974235,29.16874671530435,53.60117814567822,,,,
1777174080,77448,77448,77435,77435,77455.47613977281,77494.24050575837,17.103822697733065,48.47479676190236,,,,
1777174140,77435.1,77435.1,77370.1,77384,77439.59255315663,77492.94013058161,4.98069359536521,42.482477585100206,,,,
1777174200,77384.1,77384.1,77360,77360.1,77421.92754134405,77491.51821756815,3.3243580514908047,36.08330863089391,,,,
