n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note,gross,fees,net,equity,size_flag
38,LINK,L,2026-08-23 16:00:00,2026-08-23 17:04:00,6842.4,6958.82,TP,scaleout,116.42000000000007,5.520488,110.89951200000007,10247.009156000004,double
41,SUI,L,2026-08-23 22:46:00,2026-08-23 23:02:00,5026.2,4979.69,SL,,-46.51000000000022,4.002356,-50.51235600000022,10196.496800000003,std
42,SUI,L,2026-08-23 23:09:00,2026-08-24 00:03:00,5840.1,5888.81,TP,,48.710000000000036,4.6915640000000005,44.01843600000004,10240.515236000003,std
39,SUI,L,2026-08-23 17:54:00,2026-08-24 00:19:00,1399.1,1443.27,TP,,44.17000000000007,1.136948,43.033052000000076,10283.548288000004,std
40,ETH,L,2026-08-23 17:56:00,2026-08-24 00:33:00,2435.39,2483.45,TP,,48.059999999999945,1.9675360000000002,46.09246399999994,10329.640752000003,std
43,BTC,S,2026-08-24 10:49:00,2026-08-24 11:26:00,8513.97,8454.17,TP,,59.79999999999927,6.787256,53.01274399999927,10382.653496000003,std
44,SOL,S,2026-08-24 10:50:00,2026-08-24 14:35:00,3293.5,3340.75,SL,,-47.25,2.6537,-49.9037,10332.749796000002,std
45,BTC,L,2026-08-24 16:50:00,2026-08-24 17:00:00,9230.1,9282.26,TP,,52.159999999999854,7.404944,44.755055999999854,10377.504852000002,std
47,XRP,S,2026-08-25 00:41:00,2026-08-25 03:11:00,6651.0,6699.6,SL,,-48.600000000000364,5.3402400000000005,-53.940240000000365,10323.564612000002,std
46,AVAX,S,2026-08-24 18:53:00,2026-08-25 05:17:00,3773.5,3825.43,SL,,-51.929999999999836,3.039572,-54.969571999999836,10268.595040000002,std
48,ETH,L,2026-08-25 09:29:00,2026-08-25 10:49:00,6269.37,6217.67,SL,,-51.69999999999982,4.994816,-56.69481599999982,10211.900224000003,std
49,BTC,L,2026-08-25 11:30:00,2026-08-25 12:51:00,4809.76,4758.5,SL,,-51.26000000000022,3.8273040000000003,-55.087304000000216,10156.812920000002,std
50,SUI,L,2026-08-25 13:10:00,2026-08-25 15:06:00,13611.9,13507.53,SL,big,-104.36999999999898,10.847772,-115.21777199999899,10041.595148000004,double
51,SUI,L,2026-08-25 15:50:00,2026-08-25 16:15:00,3201.6,3175.2,SL,,-26.40000000000009,2.5507199999999997,-28.95072000000009,10012.644428000003,std
