n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note,gross,fees,net,equity,mins
21,LINK,L,2026-08-21 15:45:00,2026-08-21 18:09:00,3417.39,3468.02,TP,,50.63000000000011,0.2754164,50.35458360000011,10309.252524800002,144.0
24,SUI,L,2026-08-21 19:17:00,2026-08-21 20:16:00,5672.8,5629.67,SL,,-43.13000000000011,0.4520988000000001,-43.58209880000011,10265.670426000002,59.0
25,SUI,L,2026-08-21 20:39:00,2026-08-21 21:23:00,3244.4,3289.13,TP,,44.73000000000002,0.26134120000000005,44.46865880000002,10310.139084800003,44.0
23,SOL,L,2026-08-21 16:50:00,2026-08-21 21:44:00,3190.6,3200.88,MKT,manual_win,10.2800000000002,0.25565920000000003,10.0243408000002,10320.163425600002,294.0
28,DOGE,S,2026-08-21 22:29:00,2026-08-21 23:18:00,4243.5,4266.0,SL,,-22.5,0.34038,-22.84038,10297.323045600002,49.0
26,SOL,S,2026-08-21 21:56:00,2026-08-21 23:21:00,5028.1,5038.0,MKT,manual_loss,-9.899999999999636,0.40264400000000006,-10.302643999999637,10287.020401600003,85.0
27,SOL,L,2026-08-21 23:26:00,2026-08-21 23:48:00,8073.12,8055.09,MKT,manual_loss,-18.029999999999745,0.6451284,-18.675128399999746,10268.345273200002,22.0
29,SOL,L,2026-08-21 23:52:00,2026-08-22 00:33:00,3671.2,3720.4,TP,,49.20000000000027,0.29566400000000004,48.90433600000027,10317.249609200004,41.0
30,AVAX,L,2026-08-21 23:51:00,2026-08-22 00:52:00,2536.12,2585.5,TP,,49.38000000000011,0.2048648,49.175135200000106,10366.424744400003,61.0
32,AVAX,S,2026-08-22 10:45:00,2026-08-22 11:26:00,3435.21,3392.32,TP,,42.88999999999987,0.27310120000000004,42.61689879999987,10409.041643200004,41.0
31,ETH,S,2026-08-22 10:38:00,2026-08-22 11:30:00,8532.09,8468.7,TP,,63.38999999999942,0.6800316000000001,62.70996839999942,10471.751611600002,52.0
33,LINK,S,2026-08-23 12:03:00,2026-08-23 13:05:00,5676.69,5708.52,SL,,-31.830000000000837,0.4554084,-32.28540840000084,10439.466203200001,62.0
34,ETH,S,2026-08-23 12:46:00,2026-08-23 14:21:00,7235.7,7280.73,SL,,-45.029999999999745,0.5806572000000001,-45.61065719999974,10393.855546000003,95.0
35,LINK,S,2026-08-23 14:19:00,2026-08-23 14:24:00,3396.58,3441.52,SL,,-44.940000000000055,0.27352400000000004,-45.213524000000056,10348.642022000002,5.0
36,LINK,S,2026-08-23 14:37:00,2026-08-23 15:55:00,14808.6,14767.65,MKT,manual_win_big,40.95000000000073,1.1830500000000002,39.766950000000726,10388.408972000003,78.0
37,LINK,S,2026-08-23 15:55:00,2026-08-23 15:58:00,13805.95,13869.24,MKT,manual_loss_big,-63.289999999999054,1.1070076000000002,-64.39700759999906,10324.011964400004,3.0
38,LINK,L,2026-08-23 16:00:00,2026-08-23 17:04:00,6842.4,6958.82,TP,scaleout,116.42000000000007,0.5520488,115.86795120000008,10439.879915600004,64.0
41,SUI,L,2026-08-23 22:46:00,2026-08-23 23:02:00,5026.2,4979.69,SL,,-46.51000000000022,0.4002356,-46.91023560000022,10392.969680000004,16.0
42,SUI,L,2026-08-23 23:09:00,2026-08-24 00:03:00,5840.1,5888.81,TP,,48.710000000000036,0.46915640000000003,48.240843600000034,10441.210523600004,54.0
39,SUI,L,2026-08-23 17:54:00,2026-08-24 00:19:00,1399.1,1443.27,TP,,44.17000000000007,0.1136948,44.056305200000075,10485.266828800004,385.0
40,ETH,L,2026-08-23 17:56:00,2026-08-24 00:33:00,2435.39,2483.45,TP,,48.059999999999945,0.19675360000000003,47.863246399999944,10533.130075200004,397.0
43,BTC,S,2026-08-24 10:49:00,2026-08-24 11:26:00,8513.97,8454.17,TP,,59.79999999999927,0.6787256,59.12127439999927,10592.251349600003,37.0
44,SOL,S,2026-08-24 10:50:00,2026-08-24 14:35:00,3293.5,3340.75,SL,,-47.25,0.26537,-47.51537,10544.735979600002,225.0
45,BTC,L,2026-08-24 16:50:00,2026-08-24 17:00:00,9230.1,9282.26,TP,,52.159999999999854,0.7404944000000001,51.41950559999985,10596.155485200003,10.0
47,XRP,S,2026-08-25 00:41:00,2026-08-25 03:11:00,6651.0,6699.6,SL,,-48.600000000000364,0.534024,-49.134024000000366,10547.021461200002,150.0
46,AVAX,S,2026-08-24 18:53:00,2026-08-25 05:17:00,3773.5,3825.43,SL,,-51.929999999999836,0.30395720000000004,-52.233957199999836,10494.787504000002,624.0
48,ETH,L,2026-08-25 09:29:00,2026-08-25 10:49:00,6269.37,6217.67,SL,,-51.69999999999982,0.4994816000000001,-52.19948159999982,10442.588022400003,80.0
49,BTC,L,2026-08-25 11:30:00,2026-08-25 12:51:00,4809.76,4758.5,SL,,-51.26000000000022,0.3827304,-51.64273040000022,10390.945292000002,81.0
50,SUI,L,2026-08-25 13:10:00,2026-08-25 15:06:00,13611.9,13507.53,SL,big,-104.36999999999898,1.0847772,-105.45477719999899,10285.490514800003,116.0
51,SUI,L,2026-08-25 15:50:00,2026-08-25 16:15:00,3201.6,3175.2,SL,,-26.40000000000009,0.25507199999999997,-26.65507200000009,10258.835442800004,25.0
