n,pair,dir,entry_dt,exit_dt,entry_notional,exit_notional,exit_type,note,gross,fees,net,equity,mins,wt1h,wt4h,mkt_drift_pct
33,LINK,S,2026-08-23 12:03:00,2026-08-23 13:05:00,5676.69,5708.52,SL,,-31.83000000000084,0.4554084,-32.28540840000084,10439.4662032,62.0,-64.52621689275568,16.114770443570723,0.31665054094467404
34,ETH,S,2026-08-23 12:46:00,2026-08-23 14:21:00,7235.7,7280.73,SL,,-45.02999999999975,0.5806572000000001,-45.61065719999974,10393.855546000004,95.0,-46.51204762206876,20.114681051052244,0.5276476605825753
35,LINK,S,2026-08-23 14:19:00,2026-08-23 14:24:00,3396.58,3441.52,SL,,-44.940000000000055,0.273524,-45.213524000000056,10348.642022000002,5.0,-45.276583746041645,16.114770443570723,
36,LINK,S,2026-08-23 14:37:00,2026-08-23 15:55:00,14808.6,14767.65,MKT,manual_win_big,40.95000000000073,1.1830500000000002,39.766950000000726,10388.408972000005,78.0,-45.276583746041645,16.114770443570723,-0.11392515993339236
37,LINK,S,2026-08-23 15:55:00,2026-08-23 15:58:00,13805.95,13869.24,MKT,manual_loss_big,-63.289999999999054,1.1070076000000002,-64.39700759999906,10324.011964400004,3.0,-36.81575780886829,16.114770443570723,
38,LINK,L,2026-08-23 16:00:00,2026-08-23 17:04:00,6842.4,6958.82,TP,scaleout,116.42000000000009,0.5520488,115.86795120000008,10439.879915600004,64.0,-25.33588977325771,7.229747478521074,1.5921616656460635
41,SUI,L,2026-08-23 22:46:00,2026-08-23 23:02:00,5026.2,4979.69,SL,,-46.51000000000022,0.4002356,-46.91023560000022,10392.969680000004,16.0,42.87113025069976,14.711870862034411,
42,SUI,L,2026-08-23 23:09:00,2026-08-24 00:03:00,5840.1,5888.81,TP,,48.71000000000004,0.4691564,48.240843600000034,10441.210523600004,54.0,48.610945357093094,14.711870862034411,0.8833711352512763
39,SUI,L,2026-08-23 17:54:00,2026-08-24 00:19:00,1399.1,1443.27,TP,,44.17000000000007,0.1136948,44.05630520000008,10485.266828800004,385.0,10.059020751585187,12.819413066257333,4.002433090024327
40,ETH,L,2026-08-23 17:56:00,2026-08-24 00:33:00,2435.39,2483.45,TP,,48.059999999999945,0.1967536,47.86324639999994,10533.130075200004,397.0,22.713150575378393,19.749466236032035,1.1526335044744762
43,BTC,S,2026-08-24 10:49:00,2026-08-24 11:26:00,8513.97,8454.17,TP,,59.79999999999927,0.6787256,59.12127439999927,10592.251349600005,37.0,-6.846025852792415,28.127221240560214,-0.41998909892660974
44,SOL,S,2026-08-24 10:50:00,2026-08-24 14:35:00,3293.5,3340.75,SL,,-47.25,0.26537,-47.51537,10544.735979600002,225.0,-25.672362056596114,36.132521017362706,2.350563709848985
45,BTC,L,2026-08-24 16:50:00,2026-08-24 17:00:00,9230.1,9282.26,TP,,52.159999999999854,0.7404944000000001,51.41950559999985,10596.155485200004,10.0,53.28968375598367,40.367944359547785,
47,XRP,S,2026-08-25 00:41:00,2026-08-25 03:11:00,6651.0,6699.6,SL,,-48.60000000000037,0.534024,-49.134024000000366,10547.021461200002,150.0,-12.258896584105463,24.448473075532785,0.3037667071688954
46,AVAX,S,2026-08-24 18:53:00,2026-08-25 05:17:00,3773.5,3825.43,SL,,-51.92999999999984,0.3039572,-52.23395719999984,10494.787504000002,624.0,19.037611799197105,5.791029077113936,1.7687434002112035
48,ETH,L,2026-08-25 09:29:00,2026-08-25 10:49:00,6269.37,6217.67,SL,,-51.69999999999982,0.4994816000000001,-52.19948159999982,10442.588022400005,80.0,49.67824452419861,54.17730336161889,-1.0079098753595361
49,BTC,L,2026-08-25 11:30:00,2026-08-25 12:51:00,4809.76,4758.5,SL,,-51.26000000000022,0.3827304,-51.64273040000022,10390.945292000002,81.0,61.65715739257922,69.62749740766907,-1.1507257126944448
50,SUI,L,2026-08-25 13:10:00,2026-08-25 15:06:00,13611.9,13507.53,SL,big,-104.36999999999898,1.0847772,-105.454777199999,10285.490514800003,116.0,-20.71525868827033,-15.209300044915173,0.062437562437578364
51,SUI,L,2026-08-25 15:50:00,2026-08-25 16:15:00,3201.6,3175.2,SL,,-26.40000000000009,0.2550719999999999,-26.65507200000009,10258.835442800004,25.0,-33.69139607759906,-15.209300044915173,-1.4086278455540113
