dir,entry,stop_d,gross_r,net_r,t_entry,t_exit,n_swaps
short,38447.92,1444.291645591826,2.0,1.9675228597055416,1642737600,1642805100,4
short,36426.46,1691.8284360529196,2.0,1.9618904418284744,1642809600,1643022000,14
short,33690.0,1826.9339599396264,-1.0,-1.0194549725274002,1643025600,1643047200,1
short,37548.79,1718.802603294097,-1.0,-1.0843251744686824,1643227200,1643987700,52
long,40703.33,1341.3890326660369,2.0,1.9429529699911812,1644004800,1644245100,16
long,43805.26,1220.4082025103683,-1.0,-1.0753772760710518,1644249600,1644540300,20
short,41907.8,1222.5823492949414,2.0,1.9544101270297713,1645113600,1645200000,6
short,37550.0,1251.3410826865043,-1.0,-1.0300078056411157,1645444800,1645452900,0
short,38114.5,1463.0420559898944,2.0,1.9553216073096593,1645473600,1645671600,13
short,34907.8,1622.092719827524,-1.0,-1.0250710619084242,1645675200,1645728300,3
long,40792.8,1800.960309404294,2.0,1.9711205073602074,1646064000,1646136900,5
long,43626.0,1888.417124611056,-1.0,-1.0408903409070198,1646150400,1646354700,14
short,37290.0,1468.7467553389265,-1.0,-1.0267853868320014,1646683200,1646706600,1
short,39137.9,1471.5856024813097,-1.0,-1.0280584999135478,1647403200,1647421200,1
long,40868.4,1547.3696778027047,2.0,1.9067673006201984,1647460800,1648135800,46
long,43970.7,1133.63187867356,2.0,1.9206796463723181,1648137600,1648413000,19
