sig,e_bar,x_bar,dir,variant,entry,stop_d,gross_r,cost_r,net_r,n_swaps,t_entry,t_exit
16770,16771,16796,short,A,34792.9,479.21797643679747,2.0,0.07659668732155983,1.9234033126784402,1,1625099400,1625121900
16893,16894,16991,long,A,33045.82,461.29240898590433,2.0,0.09527783189977229,1.9047221681002278,6,1625210100,1625297400
16932,16933,16990,short,A,33572.07,330.7304556915551,-1.0,0.11825781652983304,-1.1182578165298331,3,1625245200,1625296500
17013,17014,17031,short,A,34530.15,256.95188693310047,-1.0,0.14177482284644466,-1.1417748228464446,1,1625318100,1625333400
17146,17147,17153,short,A,35670.01,335.662466693233,2.0,0.11211220879334216,1.8878877912066578,1,1625437800,1625443200
17466,17467,17471,long,A,33295.0,633.413676503169,-1.0,0.052564384438000725,-1.0525643844380008,0,1625725800,1625729400
17487,17488,17594,long,A,32559.82,485.3531293767228,2.0,0.09291245480977986,1.90708754519022,7,1625744700,1625840100
17688,17689,17698,short,A,33695.57,269.55021591109835,-1.0,0.13188201771548397,-1.131882017715484,1,1625925600,1625933700
17717,17718,17785,long,A,33295.46,310.61364601544483,2.0,0.13077487651003009,1.86922512348997,4,1625951700,1626012000
18003,18004,18030,long,A,32424.0,279.43332278468006,-1.0,0.12241675280209427,-1.1224167528020943,1,1626209100,1626232500
18036,18037,18053,long,A,31920.98,303.8882052232402,-1.0,0.11081915428491444,-1.1108191542849144,1,1626238800,1626253200
18611,18612,18632,long,A,29739.77,397.8578047131123,-1.0,0.07886098243724098,-1.078860982437241,1,1626756300,1626774300
18636,18637,18650,long,A,29662.67,408.21821669236306,-1.0,0.07666026544225371,-1.0766602654422537,1,1626778800,1626790500
18821,18822,18846,short,A,32076.02,291.240594468145,-1.0,0.11619328398157537,-1.1161932839815754,1,1626945300,1626966900
18905,18906,18971,short,A,32514.02,314.788403394723,-1.0,0.12601196223312008,-1.1260119622331202,4,1627020900,1627079400
18999,19000,19002,short,A,33661.82,212.523726434767,-1.0,0.15839087976058197,-1.158390879760582,0,1627105500,1627107300
19362,19363,19368,short,A,39021.12,747.9304598301314,-1.0,0.05217212307259475,-1.0521721230725947,0,1627432200,1627436700
20011,20012,20062,long,A,38023.82,360.46524758414307,-1.0,0.12289048832553438,-1.1228904883255344,3,1628016300,1628061300
20225,20226,20286,short,A,40779.42,486.2540876201747,-1.0,0.09770205641357962,-1.0977020564135795,3,1628208900,1628262900
20256,20257,20286,short,A,40725.4,611.8551376201503,-1.0,0.07022135528209547,-1.0702213552820954,1,1628236800,1628262900
20420,20421,20426,short,A,44587.48,388.7923884480333,2.0,0.11468197764360206,1.885318022356398,0,1628384400,1628388900
20611,20612,20764,short,A,45917.07,745.3329953894936,-1.0,0.09210114146915929,-1.0921011414691593,9,1628556300,1628693100
20639,20640,20670,long,A,45590.91,426.0891457775724,-1.0,0.11876836244595954,-1.1187683624459595,2,1628581500,1628608500
20839,20840,20848,long,A,45383.9,668.5178795309475,-1.0,0.0678873391267302,-1.0678873391267303,0,1628761500,1628768700
20895,20896,20922,long,A,44377.23,610.3077692471488,2.0,0.08071128663618947,1.9192887133638106,2,1628811900,1628835300
20975,20976,20977,short,A,46295.05,453.79221258920006,-1.0,0.1076291668191628,-1.107629166819163,1,1628883900,1628884800
21075,21076,21185,short,A,46624.76,853.9043945247322,-1.0,0.07562356279468668,-1.0756235627946866,7,1628973900,1629072000
21210,21211,21247,short,A,47230.15,605.8751639128095,2.0,0.0865284956746378,1.9134715043253623,2,1629095400,1629127800
21351,21352,21358,long,A,45884.99,460.830292934661,-1.0,0.09957025547907247,-1.0995702554790725,0,1629222300,1629227700
21807,21808,21819,short,A,49150.0,369.4460630797912,2.0,0.14035404672535642,1.8596459532746437,1,1629632700,1629642600
22090,22091,22109,long,A,47492.03,508.0160023067292,2.0,0.0986269948633394,1.9013730051366606,1,1629887400,1629903600
22342,22343,22395,short,A,49115.48,331.72784993681125,2.0,0.17248938915107487,1.8275106108489252,3,1630114200,1630161000
22525,22526,22532,short,A,49141.85,300.9752838612185,2.0,0.17225551242907333,1.8277444875709268,1,1630278900,1630284300
22629,22630,22656,long,A,46998.49,446.7181688306446,2.0,0.11099482942409171,1.8890051705759083,1,1630372500,1630395900
22660,22661,22673,short,A,47764.01,406.2087331269504,-1.0,0.12405206102314777,-1.1240520610231477,1,1630400400,1630411200
22774,22775,22787,short,A,47521.01,467.5839403702994,-1.0,0.10722067466709026,-1.1072206746670903,1,1630503000,1630513800
22827,22828,22844,short,A,49690.95,407.78262467248715,-1.0,0.12855857282321576,-1.1285585728232157,1,1630550700,1630565100
23132,23133,23181,long,A,49874.26,418.02607618262846,2.0,0.13899494842665167,1.8610050515733483,3,1630825200,1630868400
23423,23424,23426,long,A,45328.57,560.900747547872,-1.0,0.08525865147990108,-1.0852586514799012,1,1631087100,1631088900
24024,24025,24029,short,A,46424.96,417.6942845668382,-1.0,0.11114578703930342,-1.1111457870393033,0,1631628000,1631631600
24072,24073,24107,short,A,47043.0,484.49997984667425,-1.0,0.10777653699082695,-1.107776536990827,2,1631671200,1631701800
24221,24222,24244,long,A,47645.09,418.54511165567965,-1.0,0.12635686913363653,-1.1263568691336365,2,1631805300,1631825100
24559,24560,24575,long,A,45587.99,359.03565457441437,-1.0,0.13395697290011532,-1.1339569729001153,1,1632109500,1632123000
24625,24626,24638,long,A,43808.78,1073.946950290032,-1.0,0.040792312868125305,-1.0407923128681253,0,1632168900,1632179700
24646,24647,24725,long,A,42215.69,1722.665943515749,-1.0,0.03124517841233327,-1.0312451784123333,5,1632187800,1632258000
24813,24814,24851,short,A,43286.79,962.902521860291,-1.0,0.052371978684376985,-1.052371978684377,3,1632338100,1632371400
25228,25229,25255,short,A,44157.83,366.7151373052693,2.0,0.1336601255682491,1.866339874431751,2,1632711600,1632735000
