sig,e_bar,x_bar,dir,variant,entry,stop_d,gross_r,cost_r,net_r,n_swaps,t_entry,t_exit
12300,12301,12325,long,B,48408.7,876.1530969308878,-1.0,0.06132907272510456,-1.0613290727251046,2,1621076400,1621098000
12335,12336,12351,long,B,47620.19,913.4589460398056,-1.0,0.0549989692123621,-1.054998969212362,1,1621107900,1621121400
12337,12338,12351,long,B,48385.0,1678.2689460398033,-1.0,0.028830301671358256,-1.0288303016713582,0,1621109700,1621121400
12467,12468,12473,long,B,43194.73,893.3639347494172,2.0,0.04835065343455559,1.9516493465654443,0,1621226700,1621231200
12470,12471,12472,long,B,43012.64,565.7923996517638,2.0,0.07602194731932346,1.9239780526806765,0,1621229400,1621230300
12633,12634,12637,long,B,42911.35,515.668408150821,-1.0,0.08321500662388731,-1.0832150066238873,0,1621376100,1621378800
12661,12662,12670,long,B,39817.57,1131.2206051092362,-1.0,0.03519876655372187,-1.035198766553722,0,1621401300,1621408500
12662,12663,12670,long,B,39737.75,1051.4006051092365,-1.0,0.03779506099473036,-1.0377950609947304,0,1621402200,1621408500
12991,12992,12993,short,B,38520.44,343.58726155679324,2.0,0.11827872784300697,1.8817212721569931,1,1621698300,1621699200
13464,13465,13493,short,B,39875.28,771.3592542705519,2.0,0.0573812533588602,1.9426187466411398,2,1622124000,1622149200
13468,13469,13476,short,B,40026.1,583.0373219809844,2.0,0.0724268137012629,1.927573186298737,1,1622127600,1622133900
13552,13553,13553,long,B,35374.32,231.2975712485204,2.0,0.15293857090263885,1.8470614290973613,0,1622203200,1622203200
13553,13554,13589,long,B,36529.29,1606.7038241887785,-1.0,0.025236456955887537,-1.0252364569558876,2,1622204100,1622235600
13656,13657,13662,long,B,34888.18,1010.580986267174,-1.0,0.03452289373548176,-1.0345228937354818,0,1622296800,1622301300
13736,13737,13744,short,B,35850.81,350.238027956344,-1.0,0.10236127187327779,-1.1023612718732778,0,1622368800,1622375100
13812,13813,13822,long,B,34464.93,509.9094187694209,2.0,0.0675902988479311,1.932409701152069,0,1622437200,1622445300
14040,14041,14042,short,B,37544.72,363.75581935056834,-1.0,0.1032140738450054,-1.1032140738450054,0,1622642400,1622643300
14048,14049,14088,short,B,38032.67,375.22523680883023,2.0,0.11250912667558217,1.8874908733244178,2,1622649600,1622684700
14204,14205,14205,long,B,36817.23,408.8304815625306,-1.0,0.09005500240414145,-1.0900550024041415,0,1622790000,1622790000
14688,14689,14699,short,B,34143.5,478.8416200307329,-1.0,0.07130436990378701,-1.071304369903787,0,1623225600,1623234600
14752,14753,14774,short,B,37369.99,372.7577289182882,2.0,0.10576665858655443,1.8942333414134456,1,1623283200,1623302100
14799,14800,14822,short,B,37811.51,718.5723104163553,2.0,0.05840856305147814,1.9415914369485219,2,1623325500,1623345300
14970,14971,14985,long,B,35272.47,400.95753568407235,-1.0,0.09280896987385945,-1.0928089698738594,1,1623479400,1623492000
15166,15167,15170,short,B,39591.04,286.7024154643659,2.0,0.1456860666218956,1.8543139333781045,1,1623655800,1623658500
15401,15402,15402,long,B,38796.3,428.6791726453521,-1.0,0.09050194755343603,-1.090501947553436,0,1623867300,1623867300
15425,15426,15494,long,B,38537.16,603.1630211023803,-1.0,0.0779479735247557,-1.0779479735247557,4,1623888900,1623950100
15505,15506,15529,long,B,37823.11,384.0662650162849,-1.0,0.10389712579496678,-1.1038971257949668,1,1623960900,1623981600
15585,15586,15594,long,B,36424.59,340.0025653678895,-1.0,0.10713033873902648,-1.1071303387390266,0,1624032900,1624040100
15635,15636,15666,long,B,35222.66,541.8171144804,2.0,0.07215931640973354,1.9278406835902664,2,1624077900,1624104900
15637,15638,15753,long,B,35358.6,633.2489542687472,-1.0,0.07733397847699676,-1.0773339784769969,7,1624079700,1624183200
15831,15832,15834,long,B,34252.95,626.7633712015522,-1.0,0.05465052932869152,-1.0546505293286916,0,1624254300,1624256100
15845,15846,15846,long,B,33408.7,980.0463280483818,-1.0,0.03408889870188944,-1.0340888987018895,0,1624266900,1624266900
15899,15900,15909,long,B,31685.85,566.4643712442739,2.0,0.059012664250307705,1.9409873357496923,1,1624315500,1624323600
16160,16161,16165,short,B,33851.0,827.9587543774032,-1.0,0.04088488686305974,-1.0408848868630598,0,1624550400,1624554000
16287,16288,16319,long,B,31846.62,806.8828035465813,-1.0,0.043810263454151385,-1.0438102634541513,2,1624664700,1624692600
16586,16587,16604,short,B,34363.66,742.556105600459,-1.0,0.04882279066399154,-1.0488227906639915,1,1624933800,1624949100
16625,16626,16627,short,B,35546.61,339.7098166308424,-1.0,0.10463815956966582,-1.104638159569666,0,1624968900,1624969800
16738,16739,16753,long,B,34290.01,349.1983789304941,2.0,0.10359716061912365,1.8964028393808763,1,1625070600,1625083200
17189,17190,17198,long,B,34380.5,392.0277335874707,-1.0,0.08769915252010835,-1.0876991525201083,0,1625476500,1625483700
17397,17398,17434,short,B,34750.01,347.00540583093243,2.0,0.11115824264361247,1.8888417573563876,2,1625663700,1625696100
17465,17466,17471,long,B,33345.0,683.413676503169,-1.0,0.04879182425879559,-1.0487918242587957,0,1625724900,1625729400
17468,17469,17471,long,B,33085.39,423.8036765031684,-1.0,0.07806772766340701,-1.078067727663407,0,1625727600,1625729400
18762,18763,18971,short,B,32150.0,804.0773282406444,-1.0,0.06857207393304157,-1.0685720739330415,13,1626892200,1627079400
18998,18999,19002,short,B,33635.01,239.33372643476469,-1.0,0.14053602265357246,-1.1405360226535723,0,1627104600,1627107300
19361,19362,19368,short,B,39156.8,612.2504598301311,-1.0,0.06395552566977909,-1.063955525669779,0,1627431300,1627436700
19375,19376,19404,short,B,39851.69,490.31873051631555,-1.0,0.09021759346908746,-1.0902175934690874,2,1627443900,1627469100
19845,19846,19889,long,B,39651.0,474.3521700632846,-1.0,0.09738210957027395,-1.097382109570274,3,1627866900,1627905600
20219,20220,20228,short,B,40880.0,386.41742378935305,2.0,0.11161090920038455,1.8883890907996155,1,1628203500,1628210700
20338,20339,20369,short,B,43531.38,588.1531835630376,-1.0,0.08215518193283933,-1.0821551819328392,2,1628310600,1628337600
20419,20420,20441,short,B,44377.84,598.43238844804,-1.0,0.07823543996577169,-1.0782354399657716,1,1628383500,1628402400
20562,20563,20569,short,B,45764.73,501.1574299651984,-1.0,0.09131807145546665,-1.0913180714554667,0,1628512200,1628517600
20638,20639,20640,long,B,45460.4,295.5791457775704,2.0,0.15380110758629068,1.8461988924137094,0,1628580600,1628581500
20940,20941,20948,short,B,46290.79,310.3426189207021,-1.0,0.15736408882493397,-1.157364088824934,1,1628852400,1628858700
20974,20975,20977,short,B,46329.71,419.13221258920385,-1.0,0.11661676812682904,-1.116616768126829,1,1628883000,1628884800
21350,21351,21358,long,B,45799.01,374.85029293466505,-1.0,0.12217946967959978,-1.1221794696795997,0,1629221400,1629227700
21449,21450,21460,short,B,45621.53,499.3249166865935,2.0,0.09639157298495028,1.9036084270150497,1,1629310500,1629319500
21806,21807,21819,short,B,49190.9,328.54606307978975,2.0,0.1579577579275287,1.8420422420724714,1,1629631800,1629642600
22341,22342,22395,short,B,49131.63,315.5778499368171,2.0,0.18137631954036026,1.8186236804596398,3,1630113300,1630161000
22526,22527,22542,short,B,48999.99,442.83528386121907,2.0,0.11673638333254578,1.8832636166674541,1,1630279800,1630293300
22549,22550,22555,long,B,47992.07,375.11903367992636,-1.0,0.1279382427737582,-1.1279382427737583,0,1630300500,1630305000
22628,22629,22655,long,B,46889.79,338.0181688306475,2.0,0.14634931791132394,1.853650682088676,1,1630371600,1630395000
22659,22660,22673,short,B,47823.19,347.0287331269501,-1.0,0.14538699719582907,-1.145386997195829,1,1630399500,1630411200
22971,22972,23078,short,B,50642.8,614.4416728309079,2.0,0.11415286609198191,1.885847133908018,7,1630680300,1630775700
23426,23427,23428,long,B,45075.23,483.8936146198248,2.0,0.09315111553066008,1.9068488844693399,0,1631089800,1631090700
23677,23678,23721,long,B,44678.73,490.1589548134798,2.0,0.10619151183274182,1.893808488167258,3,1631315700,1631354400
24033,24034,24058,short,B,46719.99,382.0585415762398,-1.0,0.12901056797905472,-1.1290105679790547,1,1631636100,1631657700
24063,24064,24069,short,B,46985.93,407.36910177963,-1.0,0.12168364250859512,-1.1216836425085952,1,1631663100,1631667600
24342,24343,24359,long,B,47058.41,283.39542933432676,2.0,0.17518497975290553,1.8248150202470945,1,1631914200,1631928600
24645,24646,24725,long,B,41631.41,1138.3859435157501,-1.0,0.04662746237543087,-1.0466274623754308,5,1632186900,1632258000
24812,24813,24851,short,B,43118.51,1131.1825218602899,-1.0,0.04440756746081,-1.04440756746081,3,1632337200,1632371400
24861,24862,24902,short,B,43940.03,570.435416983215,-1.0,0.08973870384963539,-1.0897387038496353,3,1632381300,1632417300
25227,25228,25267,short,B,44112.78,411.7651373052722,2.0,0.12480752750541804,1.8751924724945819,3,1632710700,1632745800
25303,25304,25311,long,B,42939.86,491.22459894334315,-1.0,0.08741390413339743,-1.0874139041333974,0,1632779100,1632785400
