sig,e_bar,x_bar,dir,tag,entry,stop_d,gross_r,net_r,t_entry,t_exit
15776,15777,15834,long,fund=-0.00018,34383.37,1031.5011000000013,-1.0,-1.0388333333333333,1624204800,1624256100
15872,15873,15896,long,fund=-0.00020,32664.09,979.9226999999992,-1.0,-1.0351666666666668,1624291200,1624311900
15968,15969,16064,long,fund=-0.00033,31635.71,949.0712999999996,1.9519292175414058,1.9094292175414058,1624377600,1624463100
16064,16065,16106,long,fund=-0.00020,33488.24,1004.6471999999994,-1.0,-1.037,1624464000,1624500900
16160,16161,16244,long,fund=-0.00019,33851.0,1015.5299999999988,-1.0,-1.0425,1624550400,1624625100
16384,16385,16480,long,fund=-0.00024,32250.15,967.5044999999991,2.519430142185385,2.476930142185385,1624752000,1624837500
17504,17505,17600,long,fund=-0.00028,32874.95,986.2485000000015,0.6717779545418826,0.6292779545418826,1625760000,1625845500
18720,18721,18816,long,fund=-0.00039,30797.85,923.9354999999996,1.4257055822619682,1.3832055822619682,1626854400,1626939900
19168,19169,19264,long,fund=-0.00055,35370.67,1061.1201,1.741009335324058,1.6985093353240581,1627257600,1627343100
21248,21249,21344,short,fund=+0.00014,46350.8,1390.524000000005,0.4288527202694809,0.38635272026948103,1629129600,1629215100
21600,21601,21627,short,fund=+0.00011,46871.29,1406.1387000000032,-1.0,-1.0351666666666666,1629446400,1629469800
21696,21697,21792,short,fund=+0.00020,48985.5,1469.5650000000023,-0.15439943112417695,-0.19689943112417688,1629532800,1629618300
21824,21825,21867,short,fund=+0.00015,48550.0,1456.5,-1.0,-1.037,1629648000,1629685800
21920,21921,22016,short,fund=+0.00024,49571.64,1487.1491999999998,0.8078476591319819,0.7653476591319819,1629734400,1629819900
22016,22017,22112,short,fund=+0.00041,48370.26,1451.107799999998,-0.30440881097875466,-0.3469088109787547,1629820800,1629906300
22176,22177,22272,short,fund=+0.00022,46920.11,1407.6033000000025,-0.4002832332092439,-0.44278323320924384,1629964800,1630050300
22368,22369,22464,short,fund=+0.00032,48978.14,1469.3441999999995,0.32677163050019153,0.2842716305001915,1630137600,1630223100
22624,22625,22720,short,fund=+0.00036,47024.69,1410.740700000002,-0.08905250979148556,-0.1315525097914855,1630368000,1630453500
22720,22721,22788,short,fund=+0.00045,47150.32,1414.5096000000049,-1.0,-1.0406666666666666,1630454400,1630514700
22816,22817,22846,short,fund=+0.00041,48842.93,1465.287900000003,-1.0,-1.0351666666666666,1630540800,1630566900
22912,22913,22963,short,fund=+0.00048,49299.14,1478.9742000000042,-1.0,-1.0388333333333333,1630627200,1630672200
23008,23009,23104,short,fund=+0.00044,50027.09,1500.8127000000022,0.057535493936051056,0.015035493936051116,1630713600,1630799100
27040,27041,27136,short,fund=+0.00048,61702.33,1851.0699000000022,0.4196329917092829,0.37713299170928294,1634342400,1634427900
27200,27201,27263,short,fund=+0.00044,60820.55,1824.6165000000037,-1.0,-1.0388333333333333,1634486400,1634542200
27488,27489,27584,short,fund=+0.00063,66918.39,2007.5516999999963,1.9317958287201307,1.8892958287201307,1634745600,1634831100
27584,27585,27680,short,fund=+0.00062,63040.21,1891.2063000000053,1.2136645272385114,1.1711645272385114,1634832000,1634917500
27904,27905,27934,short,fund=+0.00049,60902.82,1827.084600000002,-1.0,-1.0351666666666666,1635120000,1635146100
28032,28033,28128,short,fund=+0.00061,62495.36,1874.8608000000022,1.3314908498806939,1.288990849880694,1635235200,1635320700
28768,28769,28864,short,fund=+0.00082,63266.69,1898.0007000000041,0.16872491142917098,0.12622491142917108,1635897600,1635983100
29408,29409,29498,short,fund=+0.00068,66874.99,2006.2497000000003,-1.0,-1.0425,1636473600,1636553700
32704,32705,32800,long,fund=-0.00000,46679.93,1400.3979000000036,1.1740306094432136,1.1315306094432136,1639440000,1639525500
34336,34337,34416,long,fund=-0.00003,47095.02,1412.850599999998,-1.0,-1.0406666666666666,1640908800,1640979900
35328,35329,35350,long,fund=+0.00005,42035.0,1261.050000000003,-1.0,-1.0351666666666666,1641801600,1641820500
35488,35489,35584,long,fund=-0.00005,42700.69,1281.020700000001,0.9211638812706133,0.8786638812706133,1641945600,1642031100
35584,35585,35654,long,fund=-0.00008,43880.72,1316.4216000000015,-1.0,-1.0406666666666666,1642032000,1642094100
35712,35713,35808,long,fund=-0.00009,42635.64,1279.069199999998,0.342710152038685,0.30021015203868495,1642147200,1642232700
36800,36801,36896,long,fund=-0.00010,36526.33,1095.7899000000034,1.310269422997962,1.267769422997962,1643126400,1643211900
36960,36961,37056,long,fund=-0.00010,36151.81,1084.5543000000034,0.5873841448049221,0.5448841448049222,1643270400,1643355900
37344,37345,37440,long,fund=-0.00007,37098.68,1112.9604000000036,1.18779607971676,1.1452960797167602,1643616000,1643701500
37600,37601,37696,long,fund=-0.00008,36892.05,1106.7615000000005,0.35943606639732,0.31693606639732,1643846400,1643931900
37728,37729,37824,long,fund=-0.00009,37859.0,1135.770000000004,3.089657236940566,3.047157236940566,1643961600,1644047100
38048,38049,38144,long,fund=-0.00010,43805.26,1314.1578000000009,-0.30341105154951936,-0.34591105154951934,1644249600,1644335100
38784,38785,38880,long,fund=-0.00008,43665.8,1309.974000000002,0.3814579526005832,0.33895795260058326,1644912000,1644997500
39552,39553,39614,long,fund=-0.00013,38121.5,1143.645000000004,-1.0,-1.0388333333333333,1645603200,1645658100
39648,39649,39744,long,fund=-0.00016,35282.3,1058.4690000000046,3.004528238427373,2.962028238427373,1645689600,1645775100
40000,40001,40096,long,fund=-0.00021,37672.1,1130.1630000000005,4.851424086614054,4.808924086614054,1646006400,1646091900
41056,41057,41065,long,fund=-0.00010,39407.1,1182.2130000000034,-1.0,-1.0333333333333332,1646956800,1646964000
44160,44161,44256,long,fund=-0.00010,40154.9,1204.6470000000045,-0.035612092173060904,-0.07811209217306075,1649750400,1649835900
44416,44417,44512,long,fund=-0.00013,39915.9,1197.476999999999,0.5124106767812652,0.46991067678126514,1649980800,1650066300
44736,44737,44832,long,fund=-0.00017,38902.2,1167.065999999999,1.516109628761358,1.473609628761358,1650268800,1650354300
45120,45121,45151,long,fund=-0.00017,40687.1,1220.6129999999976,-1.0,-1.0351666666666668,1650614400,1650641400
45280,45281,45376,long,fund=-0.00018,39413.8,1182.4140000000043,0.0165762584001868,-0.02592374159981305,1650758400,1650843900
47007,47008,47024,long,fund=-0.00019,29077.9,872.3369999999995,-1.0,-1.0351666666666668,1652313600,1652328000
51773,51774,51869,long,fund=-0.00016,19133.4,574.0020000000004,0.25452872986505004,0.21202872986505006,1656604800,1656690300
57405,57406,57501,long,fund=-0.00009,20045.0,601.3500000000022,-0.2655691361104185,-0.3080691361104183,1661673600,1661759100
57501,57502,57597,long,fund=-0.00010,19885.3,596.5590000000011,0.9018387116781391,0.8593387116781392,1661760000,1661845500
59517,59518,59613,long,fund=-0.00009,18459.7,553.7910000000011,1.6074656323414411,1.5649656323414411,1663574400,1663659900
59773,59774,59869,long,fund=-0.00012,18447.6,553.4279999999999,1.707358500112032,1.664858500112032,1663804800,1663890300
64381,64382,64394,long,fund=-0.00014,18533.9,556.0169999999998,-1.0,-1.0333333333333334,1667952000,1667962800
64477,64478,64573,long,fund=-0.00119,15905.0,477.14999999999964,3.52719270669601,3.48469270669601,1668038400,1668123900
64573,64574,64582,long,fund=-0.00019,17588.0,527.6399999999994,-1.0,-1.0333333333333334,1668124800,1668132000
64989,64990,65085,long,fund=-0.00018,16834.9,505.0470000000005,-0.04138228719307596,-0.08388228719307593,1668499200,1668584700
70749,70750,70845,short,fund=+0.00046,20913.0,627.3899999999994,0.25980649994421356,0.21730649994421353,1673683200,1673768700
70845,70846,70919,short,fund=+0.00012,20750.1,622.5030000000006,-1.0,-1.0406666666666666,1673769600,1673835300
73949,73950,74045,short,fund=+0.00023,25090.2,752.706000000002,1.2738041147539634,1.2313041147539634,1676563200,1676648700
75357,75358,75453,long,fund=-0.00004,22347.8,670.4340000000011,-0.0017898853578439124,-0.044289885357843846,1677830400,1677915900
75997,75998,76040,long,fund=-0.00009,20348.4,610.4520000000011,-1.0,-1.037,1678406400,1678444200
76125,76126,76221,long,fund=-0.00002,19844.4,595.3320000000022,0.825085834458748,0.7825858344587481,1678521600,1678607100
76253,76254,76349,long,fund=-0.00004,20347.8,610.4340000000011,5.997699997051269,5.9551999970512695,1678636800,1678722300
76381,76382,76402,short,fund=+0.00015,24119.5,723.5849999999991,-1.0,-1.0351666666666668,1678752000,1678770000
76509,76510,76605,short,fund=+0.00024,24892.0,746.760000000002,0.3716053350474038,0.3291053350474039,1678867200,1678952700
77565,77566,77661,long,fund=-0.00003,27492.4,824.7720000000008,0.3662830454962077,0.32378304549620773,1679817600,1679903100
78013,78014,78109,long,fund=-0.00003,28015.0,840.4500000000007,0.5234100779344412,0.4809100779344412,1680220800,1680306300
78397,78398,78493,long,fund=-0.00006,27786.1,833.5830000000024,0.4427873409126639,0.40028734091266405,1680566400,1680651900
78653,78654,78749,long,fund=-0.00003,28079.3,842.3790000000008,-0.17699871435541295,-0.2194987143554129,1680796800,1680882300
79453,79454,79549,long,fund=-0.00005,30453.0,913.5900000000001,-0.1889250101248903,-0.2314250101248903,1681516800,1681602300
81021,81022,81071,long,fund=-0.00006,28609.9,858.2970000000023,-1.0,-1.0388333333333333,1682928000,1682972100
84445,84446,84541,long,fund=-0.00007,25714.6,771.4380000000019,1.9533650144275985,1.9108650144275985,1686009600,1686095100
85309,85310,85405,long,fund=-0.00003,25115.9,753.476999999999,0.6240402825832743,0.5815402825832742,1686787200,1686872700
88189,88190,88285,long,fund=-0.00007,30293.3,908.7989999999991,-0.01859597116633913,-0.06109597116633918,1689379200,1689464700
91613,91614,91709,long,fund=-0.00005,26201.0,786.0300000000025,-0.13485490375685363,-0.1773549037568535,1692460800,1692546300
92573,92574,92669,long,fund=-0.00011,27411.4,822.3420000000006,-0.26679897171736494,-0.3092989717173649,1693324800,1693410300
93565,93566,93661,long,fund=-0.00005,25899.9,776.9969999999994,-0.009395145669806855,-0.051895145669806894,1694217600,1694303100
93917,93918,94013,long,fund=-0.00004,26192.3,785.7690000000002,0.046833102349417274,0.004333102349417278,1694534400,1694619900
94109,94110,94205,long,fund=-0.00005,26680.0,800.4000000000015,-0.46089455272363916,-0.5033945527236391,1694707200,1694792700
94493,94494,94589,long,fund=-0.00007,27258.8,817.7639999999992,0.1890520981603523,0.14655209816035225,1695052800,1695138300
97469,97470,97565,long,fund=-0.00011,28659.5,859.7849999999999,1.0225812267020253,0.9800812267020254,1697731200,1697816700
99485,99486,99581,short,fund=+0.00020,37141.5,1114.2450000000026,0.043886218919538644,0.0013862189195387453,1699545600,1699631100
99645,99646,99741,short,fund=+0.00017,37030.5,1110.9150000000009,-0.11125963732598664,-0.1537596373259866,1699689600,1699775100
99741,99742,99837,short,fund=+0.00023,37154.1,1114.6229999999996,0.15395339949023,0.11145339949022998,1699776000,1699861500
99869,99870,99965,short,fund=+0.00020,36871.7,1106.150999999998,0.635537101173349,0.593037101173349,1699891200,1699976700
102237,102238,102291,short,fund=+0.00023,43184.6,1295.5380000000005,-1.0,-1.0388333333333333,1702022400,1702070100
102333,102334,102429,short,fund=+0.00030,44220.7,1326.6209999999992,0.16952844859232163,0.1270284485923216,1702108800,1702194300
102461,102462,102557,short,fund=+0.00024,43945.3,1318.359000000004,1.6085148279034764,1.5660148279034765,1702224000,1702309500
103421,103422,103517,short,fund=+0.00024,44078.9,1322.3669999999984,0.1672758016496212,0.12477580164962113,1703088000,1703173500
103517,103518,103613,short,fund=+0.00029,43857.7,1315.7309999999998,0.11993332983717467,0.07743332983717466,1703174400,1703259900
103901,103902,103997,short,fund=+0.00038,43661.0,1309.8300000000017,0.9450844766114685,0.9025844766114686,1703520000,1703605500
104061,104062,104128,short,fund=+0.00038,42496.0,1274.8800000000047,-1.0,-1.0406666666666664,1703664000,1703723400
104157,104158,104253,short,fund=+0.00038,43087.3,1292.6189999999988,0.5978559807646365,0.5553559807646364,1703750400,1703835900
104253,104254,104349,short,fund=+0.00050,42314.5,1269.4349999999977,0.257910015085453,0.21541001508545293,1703836800,1703922300
104349,104350,104445,short,fund=+0.00044,41987.1,1259.6129999999976,-0.4603794975123332,-0.5028794975123333,1703923200,1704008700
