time,open,high,low,close,Smoothed Heiken Ashi (Open),Smoothed Heiken Ashi (High,Smoothed Heiken Ashi (Low),Smoothed Heiken Ashi (Close),Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close),Mny Flow
1773812700,1.527,1.529,1.5207,1.5228,1.5291058625976366,1.5328645001480534,1.5247791967288027,1.5283818497590447,1.5293546545830174,1.5293546545830174,1.5207,1.524875,1.5293546545830174,1.5293546545830174,1.5207,1.524875,4.663580880612774
1773813600,1.5229,1.526,1.5227,1.5256,1.5287438561783406,1.531819105083227,1.5244011609599295,1.5276396952574003,1.5271148272915087,1.5271148272915087,1.5227,1.5243,1.5271148272915087,1.5271148272915087,1.5227,1.5243,4.210094853205725
1773814500,1.5257,1.5296,1.5233,1.5283,1.5281917757178705,1.5314156314317313,1.524200949876306,1.527473387028782,1.5257074136457542,1.5296,1.5233,1.5267249999999999,1.5257074136457542,1.5296,1.5233,1.5267249999999999,4.336839398299561
1773815400,1.5283,1.53,1.5235,1.5243,1.5278325813733262,1.5311582438986893,1.5240735044442504,1.5273009530235488,1.526216206822877,1.53,1.5235,1.5265250000000001,1.526216206822877,1.53,1.5235,1.5265250000000001,4.034998777496145
1773816300,1.5243,1.5262,1.5235,1.5238,1.5275667671984376,1.5302877638100982,1.523969230908932,1.526782597928358,1.5263706034114386,1.5263706034114386,1.5235,1.5244499999999999,1.5263706034114386,1.5263706034114386,1.5235,1.5244499999999999,1.2997504555308623
1773817200,1.5239,1.5239,1.5182,1.5213,1.5271746825633978,1.529400952518393,1.522920279834581,1.5258812164868383,1.5254103017057192,1.5254103017057192,1.5182,1.521825,1.5254103017057192,1.5254103017057192,1.5182,1.521825,-1.1947856798240744
1773818100,1.5214,1.5219,1.516,1.5176,1.526527949525118,1.5283494431246596,1.5216620471373843,1.5246709953074131,1.5236176508528596,1.5236176508528596,1.516,1.519225,1.5236176508528596,1.5236176508528596,1.516,1.519225,-6.069478610811029
1773819000,1.5176,1.5177,1.5147,1.515,1.5255994724162656,1.5270897853613452,1.5203962203851327,1.5231399052515198,1.52142132542643,1.52142132542643,1.5147,1.51625,1.52142132542643,1.52142132542643,1.5147,1.51625,-8.492228166159148
1773819900,1.5151,1.5195,1.5138,1.5191,1.5243696888338927,1.5257098243865552,1.5191969075878358,1.5220008315694253,1.5188356627132151,1.5195,1.5138,1.516875,1.5188356627132151,1.5195,1.5138,1.516875,-9.34495254173512
1773820800,1.5191,1.5246,1.5185,1.5225,1.523185260201659,1.5255080381344543,1.5189529846367034,1.5218506803749843,1.5178553313566074,1.5246,1.5178553313566074,1.521175,1.5178553313566074,1.5246,1.5178553313566074,1.521175,-9.47559510577012
1773821700,1.5226,1.5239,1.5209,1.5229,1.5225179702883216,1.5252156675645536,1.5190551993715398,1.5219823748522598,1.5195151656783037,1.5239,1.5195151656783037,1.522575,1.5195151656783037,1.5239,1.5195151656783037,1.522575,-10.441880117514573
1773822600,1.523,1.5238,1.5201,1.5218,1.5222501725702908,1.5249582734619076,1.5192451631221688,1.5220173976063944,1.521045082839152,1.5238,1.5201,1.522175,1.521045082839152,1.5238,1.5201,1.522175,-11.82735849651339
1773823500,1.5218,1.5232,1.52,1.5214,1.5221337850883427,1.5246385873779245,1.5193824061908654,1.5219415071325044,1.5216100414195761,1.5232,1.52,1.5215999999999998,1.5216100414195761,1.5232,1.52,1.5215999999999998,-13.314994200534068
1773824400,1.5214,1.5239,1.5201,1.5227,1.5220376461104237,1.5245042987637565,1.5195128777925262,1.5219566876538673,1.521605020709788,1.5239,1.5201,1.5220250000000002,1.521605020709788,1.5239,1.5201,1.5220250000000002,-13.056186860563013
1773825300,1.5228,1.5248,1.5221,1.5229,1.5219971668821455,1.5245580626248916,1.5199314473493204,1.5221736535349824,1.521815010354894,1.5248,1.521815010354894,1.52315,1.521815010354894,1.5248,1.521815010354894,1.52315,-12.821490200887578
1773826200,1.5229,1.5268,1.5228,1.5253,1.522085410208564,1.524965687602184,1.5203952760453434,1.52258753471044,1.522482505177447,1.5268,1.522482505177447,1.5244499999999999,1.522482505177447,1.5268,1.522482505177447,1.5244499999999999,-12.630089507945168
1773827100,1.5253,1.5258,1.5214,1.5229,1.522336472459502,1.5251173807654232,1.5205779531280084,1.5228170738539963,1.5234662525887235,1.5258,1.5214,1.52385,1.5234662525887235,1.5258,1.5214,1.52385,-14.9217585819673
1773828000,1.523,1.5239,1.5169,1.52,1.5225767731567492,1.5248960388080737,1.5199092343774614,1.5224776058805425,1.5236581262943618,1.5239,1.5169,1.52095,1.5236581262943618,1.5239,1.5169,1.52095,-17.543377608249312
