cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h
cum21_top_decile,-1,1.0,3659,675,12,0.49221098660836293,0.5165611551633675,-2.4350168555004603,-0.06482429745938134,-0.13198595645601557,0.0007888990438706693,0.97375,2763,0.48280854144046326,-0.08013279762134261,896,0.5212053571428571,-0.01761739350011909,23.72328505056026
cum21_top_decile,-1,2.0,2206,594,12,0.31640979147778786,0.3482907511286339,-3.188095965084603,-0.11332644062309703,-0.21962976068377063,0.004436236082003633,0.96375,1680,0.30952380952380953,-0.12900843457220657,526,0.33840304182509506,-0.06323946375141651,47.05292384406165
cum21_bot_decile,1,0.25,8490,1032,12,0.805771495877503,0.8168097102394288,-1.1038214361925869,-0.027417862987635683,-0.04568717753849917,-0.012622516010537566,1.0,5506,0.8147475481293135,-0.015413246341624815,2984,0.7892091152815014,-0.04956847265685009,7.299970553592462
cum21_bot_decile,1,0.5,5188,982,12,0.6702004626060138,0.6826564877030908,-1.2456025097076995,-0.032698170124437514,-0.0668186040632097,-0.001130607160366485,0.97875,3315,0.681447963800905,-0.015139178823006654,1873,0.6502936465563267,-0.06377561602099026,14.537586738627603
cum21_bot_decile,1,0.75,3727,921,12,0.5803595385028173,0.5868808878324406,-0.6521349329623338,-0.025845673134940326,-0.07619792723607641,0.01650006505213798,0.8875,2386,0.5955574182732607,0.00139145017607742,1341,0.5533184190902312,-0.07430784779570719,22.027971558894553
cum21_bot_decile,1,1.0,2893,871,12,0.5153819564465952,0.515127243687364,0.025471275923127923,-0.014296770679763092,-0.08176443885273484,0.049972978186763904,0.70125,1844,0.5352494577006508,0.02581371551977664,1049,0.4804575786463298,-0.08480557578171852,30.58779813342551
cum21_bot_decile,1,2.0,1695,693,12,0.34710743801652894,0.3484423760136776,-0.13349379971486774,-0.018872756314667827,-0.1379235558590675,0.08301571694634226,0.67625,1061,0.3754716981132076,0.06495920494923552,634,0.2996845425867508,-0.15916567571687826,68.72448377581121
flip_to_pos,-1,0.25,8402,1453,12,0.8120014287415168,0.8204266403900782,-0.8425211648561359,-0.02518260356277193,-0.04304969226623128,-0.008855347144739081,0.99875,4707,0.810495007435734,-0.025477471631217746,3695,0.8139219934994583,-0.02480697595839454,7.330843846703166
flip_to_pos,-1,0.5,6292,1432,12,0.6783272380346637,0.6858968551792312,-0.7569617144567498,-0.026255125947419584,-0.05529046311733023,0.005482254087121012,0.9525,3532,0.6783691959229898,-0.02469175654367295,2760,0.6782734856728327,-0.028255785633663467,15.090988556897647
flip_to_pos,-1,0.75,5326,1401,12,0.5931980458474257,0.5898210297221638,0.3377016125261978,-0.009256941912673544,-0.05429869597745274,0.03514171257713693,0.6275,3015,0.5903814262023217,-0.012783891676123914,2311,0.5968790637191157,-0.004655577335952273,22.267179872324448
flip_to_pos,-1,1.0,4656,1365,12,0.5291335196731886,0.5180843883189893,1.104913135419927,0.006901783050745992,-0.047036330198900175,0.059612820317315386,0.3725,2663,0.5212166729252723,-0.007340554344390162,1993,0.539738430583501,0.025932061266123616,30.158881013745706
flip_to_pos,-1,2.0,3085,1179,12,0.3656158596035099,0.3511826434825867,1.4433216120923187,0.030715018471665564,-0.06856041737478925,0.13416304253946537,0.2525,1758,0.35022779043280183,-0.01436497903847894,1327,0.38607115821347465,0.09043667304802881,66.35097244732577
flip_to_neg,1,0.25,8360,1455,12,0.7928930366116296,0.8202191185181888,-2.7326081906559274,-0.048765503659810853,-0.06704051070242067,-0.031010250122497005,1.0,4699,0.8052777186635455,-0.03176891126134086,3661,0.7769882481552337,-0.0705811244411303,7.470992822966507
