base,filt,rr,sym,n_all,n_f,e_all,e_f,e_n,delta
S_bb_break_dn,h4b_glob_top_p90,0.25,BTCUSDT,728,262,0.03085710378267232,0.03257012267854689,0.028784701059080927,0.0017130188958745726
S_bb_break_dn,h4b_glob_top_p90,0.25,ETHUSDT,679,251,0.011646048730027787,0.033679764627947584,-0.002042566035792487,0.022033715897919796
S_bb_break_dn,h4b_glob_top_p90,0.25,SOLUSDT,660,171,-0.00567717598220411,-0.04896476397197595,0.009034447362436594,-0.04328758798977184
S_bb_break_dn,h4b_glob_top_p90,0.5,BTCUSDT,604,219,0.037142541127480215,0.07263075468914124,0.01269636230536238,0.03548821356166102
S_bb_break_dn,h4b_glob_top_p90,0.5,ETHUSDT,580,221,-0.0013475305187862603,0.04586573619493702,-0.026232160797804303,0.047213266713723286
S_bb_break_dn,h4b_glob_top_p90,0.5,SOLUSDT,566,147,0.01036720342856291,-0.03768254232817952,0.0295263341386799,-0.048049745756742424
S_bb_break_dn,h4b_glob_top_p90,0.75,BTCUSDT,502,183,0.024782228540880247,-0.0038091992307304266,0.030601753400353874,-0.028591427771610674
S_bb_break_dn,h4b_glob_top_p90,0.75,ETHUSDT,486,182,-0.006401155327448448,0.11086460100580117,-0.07924653487714248,0.11726575633324962
S_bb_break_dn,h4b_glob_top_p90,0.75,SOLUSDT,464,129,0.03860595523510521,0.060242495989007126,0.03573010097276256,0.021636540753901916
S_bb_break_dn,h4b_glob_top_p90,1.0,BTCUSDT,444,163,0.027892392235558415,0.030359363137074945,0.02807644663469005,0.0024669709015165305
S_bb_break_dn,h4b_glob_top_p90,1.0,ETHUSDT,429,156,0.009800819205140431,0.1568327403827346,-0.062188421509304564,0.14703192117759417
S_bb_break_dn,h4b_glob_top_p90,1.0,SOLUSDT,405,114,0.04254484351702232,0.011004597309885426,0.043602406171796615,-0.03154024620713689
S_bb_break_dn,h4b_glob_top_p90,2.0,BTCUSDT,319,123,0.04123425854222375,0.0835447253228791,0.012017407692497746,0.04231046678065535
S_bb_break_dn,h4b_glob_top_p90,2.0,ETHUSDT,298,115,0.07602903628164456,0.34706365496807545,-0.050926583557801254,0.27103461868643086
S_bb_break_dn,h4b_glob_top_p90,2.0,SOLUSDT,275,80,0.13712712186347853,0.14490484670920975,0.12478867996951677,0.007777724845731221
S_bb_break_dn,h2_oi_top_p90,0.25,BTCUSDT,728,208,0.03085710378267232,0.05665569113976264,0.01753523234263294,0.02579858735709032
S_bb_break_dn,h2_oi_top_p90,0.25,ETHUSDT,679,126,0.011646048730027787,0.045910728447413306,0.004936650522724868,0.03426467971738552
S_bb_break_dn,h2_oi_top_p90,0.25,SOLUSDT,660,159,-0.00567717598220411,0.07063411606021425,-0.027976516331914916,0.07631129204241836
S_bb_break_dn,h2_oi_top_p90,0.5,BTCUSDT,604,178,0.037142541127480215,0.11480665251138018,0.006115969193278589,0.07766411138389998
S_bb_break_dn,h2_oi_top_p90,0.5,ETHUSDT,580,113,-0.0013475305187862603,0.02338300375287374,-0.010041069512647532,0.02473053427166
S_bb_break_dn,h2_oi_top_p90,0.5,SOLUSDT,566,141,0.01036720342856291,0.12896799797667882,-0.02675757755140147,0.11860079454811591
S_bb_break_dn,h2_oi_top_p90,0.75,BTCUSDT,502,153,0.024782228540880247,0.1936595743755591,-0.03378294355324856,0.16887734583467887
S_bb_break_dn,h2_oi_top_p90,0.75,ETHUSDT,486,97,-0.006401155327448448,0.07566499725732541,-0.026202130398339084,0.08206615258477386
S_bb_break_dn,h2_oi_top_p90,0.75,SOLUSDT,464,115,0.03860595523510521,0.1836236850138001,-0.0036760088906412376,0.1450177297786949
S_bb_break_dn,h2_oi_top_p90,1.0,BTCUSDT,444,132,0.027892392235558415,0.21198255860879303,-0.03837524998640455,0.1840901663732346
S_bb_break_dn,h2_oi_top_p90,1.0,ETHUSDT,429,87,0.009800819205140431,0.14908808063181483,-0.029414788935277807,0.1392872614266744
S_bb_break_dn,h2_oi_top_p90,1.0,SOLUSDT,405,104,0.04254484351702232,0.2725711912083476,-0.037129400471136796,0.2300263476913253
S_bb_break_dn,h2_oi_top_p90,2.0,BTCUSDT,319,98,0.04123425854222375,0.379596930339873,-0.0472466904834648,0.3383626717976493
