sym,base,cond,rr,n,ndays,wr,be,lift,expR,e_tr,e_te
BTCUSDT,standalone,h4b_glob_top_p30,2.0,272,243,0.4132841328413284,0.35704182606699303,0.05624230677433539,0.15921497358791845,0.13648519774097764,0.20754840498658567
BTCUSDT,standalone,h4b_glob_top_p90,0.25,862,380,0.8327526132404182,0.830987476881158,0.0017651363592601221,-0.003000678476080236,-0.0030160989108194,-0.00297103987778497
BTCUSDT,standalone,h4b_glob_top_p90,0.5,584,338,0.7169811320754716,0.6946811516321146,0.022299980443357015,0.02736813254563236,0.023799297438821202,0.03401596264655511
BTCUSDT,standalone,h4b_glob_top_p90,0.75,438,297,0.6270022883295194,0.5977109492074948,0.02929133912202464,0.0448240243840311,0.0545464296587405,0.025773365399803242
BTCUSDT,standalone,h4b_glob_top_p90,1.0,359,262,0.5642458100558659,0.5248582754599561,0.03938753459590982,0.07200424609505626,0.07113044331792069,0.07358118704441817
BTCUSDT,standalone,h4b_glob_top_p90,2.0,213,191,0.39622641509433965,0.3554430908555964,0.04078332423874326,0.11456956765186316,0.10570505473977028,0.12991199384587016
BTCUSDT,standalone,h1_unwind_dn_6h,0.25,1933,1071,0.793585100879462,0.8292809988220563,-0.03569589794259431,-0.052767410575945306,-0.04477394070909596,-0.07096271571353625
BTCUSDT,standalone,h1_unwind_dn_6h,0.5,1376,954,0.6613372093023255,0.6939602663102374,-0.032623057007911904,-0.05735070195590882,-0.04872602967341284,-0.07698209886559013
BTCUSDT,standalone,h1_unwind_dn_6h,0.75,1094,861,0.5630712979890311,0.5972815697423676,-0.03421027175333646,-0.06917457320833069,-0.0673115713997021,-0.07316824949924138
BTCUSDT,standalone,h1_unwind_dn_6h,1.0,923,790,0.49295774647887325,0.5246593199296705,-0.03170157345079727,-0.07297477182209404,-0.07312784862618503,-0.07263554935727917
BTCUSDT,standalone,h1_unwind_dn_6h,2.0,574,538,0.32460732984293195,0.3565987421962611,-0.03199141235332914,-0.10447583058641002,-0.13810499578034263,-0.030865324550802015
ETHUSDT,S_bb_break_dn,h2_oi_top_p30,0.25,129,77,0.8914728682170543,0.8259721447077102,0.0655007235093441,0.07429918031517613,0.054673409568636,0.11958942049949954
ETHUSDT,S_bb_break_dn,h2_oi_top_p30,0.5,115,74,0.7391304347826086,0.689938776969984,0.04919165781262469,0.06519300157033403,0.04646936234170867,0.1097993185561768
ETHUSDT,S_bb_break_dn,h2_oi_top_p30,0.75,100,72,0.67,0.5931234966496393,0.07687650335036078,0.12522427068551972,0.1191690752006772,0.14079477336082905
ETHUSDT,S_bb_break_dn,h2_oi_top_p30,1.0,93,70,0.6129032258064516,0.5213546797874015,0.09154854601905016,0.17372088770849228,0.17779052211745758,0.16427352211625149
ETHUSDT,S_bb_break_dn,h2_oi_top_p30,2.0,68,63,0.45588235294117646,0.35188489540535667,0.10399745753581979,0.3025396959681376,0.2759540130978405,0.36204098620165964
ETHUSDT,S_bb_break_dn,h2_oi_top_p90,0.25,126,73,0.8650793650793651,0.8243573186889502,0.04072204639041488,0.045910728447413306,0.06019646375014925,0.020196404902488613
ETHUSDT,S_bb_break_dn,h2_oi_top_p90,0.5,113,69,0.7079646017699115,0.6887070404106512,0.019257561359260267,0.02338300375287374,0.0510625125237445,-0.02713209975396539
ETHUSDT,S_bb_break_dn,h2_oi_top_p90,0.75,97,67,0.6391752577319587,0.5922983583241174,0.046876899407841344,0.07566499725732541,0.14468294049246866,-0.06452769993905932
ETHUSDT,S_bb_break_dn,h2_oi_top_p90,1.0,87,65,0.5977011494252874,0.5196225646962006,0.0780785847290868,0.14908808063181483,0.26536693951689044,-0.05076620807690893
ETHUSDT,S_bb_break_dn,h2_oi_top_p90,2.0,64,60,0.46875,0.3498025570349202,0.11894744296507981,0.350144070877733,0.40842524459415214,0.2592254398801191
ETHUSDT,S_bb_break_dn,h4_ttsum_top_p30,0.25,92,58,0.7934782608695652,0.8265724756115345,-0.033094214741969274,-0.04557990232921198,-0.042156541972381084,-0.05170045569445514
ETHUSDT,S_bb_break_dn,h4_ttsum_top_p30,0.5,84,55,0.6666666666666666,0.6904268561109769,-0.023760189444310242,-0.04014800988745037,-0.04032832974778389,-0.039823434138850033
ETHUSDT,S_bb_break_dn,h4_ttsum_top_p30,0.75,76,55,0.5921052631578947,0.5925002232091174,-0.000394960051222748,-0.00555331511542226,0.044212014717746655,-0.10125587248690095
ETHUSDT,S_bb_break_dn,h4_ttsum_top_p30,1.0,69,55,0.5507246376811594,0.5198688047122978,0.03085583296886163,0.055890524835382566,0.09181308411713275,-0.007333179500497726
