name,cap,n,tpm,expR,Rmo,risk,cagr,maxdd,cdd,worst_day,streak,cap_block,sym_block,offered
bb1.0+vs1.0,4,3181,51.2323591987918,0.056067907681467515,2.8724911858616413,0.0025,0.0879212649992116,-0.1242727633938657,0.7074861988910398,-0.01590611964586855,23,0.6082366589327146,0.022737819025522042,8620
bb1.0+vs1.0,8,5162,83.13783029995702,0.04363337040323872,3.6275837439996277,0.00125,0.05510382297902061,-0.10139315674219959,0.5434668842506462,-0.013397641267665624,34,0.2996519721577726,0.10150812064965198,8620
bb2.0+vs2.0,2,1014,16.363961714983184,0.06619151094932962,1.0831553510317202,0.005,0.06166087945582377,-0.2556326358910146,0.24120894908783097,-0.016725620452371703,21,0.826188102359588,0.005317381189764041,6018
bb2.0+vs2.0,4,1860,29.956676551321202,0.050413705686002605,1.5102270749890827,0.0025,0.043898066332920926,-0.2170162644574642,0.2022800753789819,-0.013815838049302127,31,0.6660019940179461,0.024925224327018942,6018
bb2.0+vs2.0,8,3203,51.58668548058162,0.08535686276796672,4.4032776332202666,0.00125,0.06718605390764187,-0.12190654451787945,0.5511275393240928,-0.011034215392610045,43,0.35759388501163175,0.11016949152542373,6018
vs0.5+vs1.0+vs2.0,2,1378,22.199460797556497,0.04741865960457601,1.0526686749644611,0.005,0.06151128486004698,-0.11614013446002898,0.5296298746857128,-0.02927560414320254,10,0.8348318647725229,0.04126955583528143,11122
vs0.5+vs1.0+vs2.0,4,2234,35.989546750175045,0.05918184324255999,2.129927714139644,0.0025,0.06443229753404234,-0.1131638060500672,0.5693719554248244,-0.015879021081179976,17,0.6710124078403165,0.1281244380507103,11122
vs0.5+vs1.0+vs2.0,8,3383,54.499837357136165,0.06275905082614278,3.4203580627130235,0.00125,0.052079986679043566,-0.09129243596189424,0.5704742800463987,-0.013375838098725957,22,0.3464304981118504,0.3493975903614458,11122
bb0.5+bb1.0+bb2.0,2,1455,23.425846336947895,0.08022630362184358,1.879369060826634,0.005,0.11511951401977605,-0.11783938048455624,0.9769188665656924,-0.016040932633234032,8,0.8705135284373274,0.02905853119823302,14488
bb0.5+bb1.0+bb2.0,4,2577,41.490313409151014,0.05052378889738141,2.0962478359701393,0.0025,0.06312905112149436,-0.135331712828476,0.4664764067643647,-0.013600682425519357,10,0.7172142462727775,0.1049144119271121,14488
bb0.5+bb1.0+bb2.0,8,4180,67.29899497487436,0.0690635218526699,4.647905610109958,0.00125,0.07147594200158558,-0.08501708444143831,0.8407244552219363,-0.01295362809316377,17,0.38542241855328546,0.3260629486471563,14488
ALL4,2,2422,38.99477651414969,0.04492695523601487,1.7519165788896072,0.005,0.10629573729685338,-0.15724694043053902,0.6759796852378669,-0.03723891020202064,11,0.8539710085749286,0.02240710494079216,19592
ALL4,4,4079,65.67287093361544,0.039590330437733696,2.600010661056472,0.0025,0.0792482428854917,-0.11414121227599411,0.6942999930110169,-0.01478062731684955,15,0.7149857084524296,0.0768170681910984,19592
ALL4,8,6360,102.39751388521555,0.04844218803640688,4.960359622088196,0.00125,0.07651880898111552,-0.08919269008056463,0.8579044864775214,-0.01281914155853858,18,0.4274193548387097,0.24795835034708044,19592
bb1.0+vs1.0+Lvs2.0,2,2312,37.246120002866924,0.009990140662227436,0.37209397795084354,0.005,0.014855228120035813,-0.18906211288080402,0.07857326829623146,-0.022149785354241357,14,0.786533212010919,0.0030937215650591447,10990
bb1.0+vs1.0+Lvs2.0,4,4230,68.1272805441337,0.010530354900484363,0.7174044425345913,0.0025,0.01825988583847793,-0.2016261987669565,0.09056306149769287,-0.01886902680784873,19,0.5983621474067334,0.016742493175614194,10990
bb1.0+vs1.0+Lvs2.0,8,7011,112.9173437103833,0.03341745532002807,3.7734102882979865,0.00125,0.05676446645745625,-0.1555116056557645,0.36501755748769166,-0.013545586349118666,31,0.27807097361237487,0.08398544131028207,10990
ALL6,2,1791,28.833619834710746,0.08621559458965136,2.4859076782215523,0.005,0.15544561477401753,-0.14703439734308107,1.0572057802998998,-0.01879619683084304,12,0.9094884810620851,0.020577899258102304,25610
ALL6,4,3186,51.29196694214876,0.060333817085436475,3.094640151439858,0.0025,0.0949920618934239,-0.1351557584458697,0.7028339967584032,-0.022824569422464566,17,0.7961733697774307,0.07942210074189769,25610
ALL6,8,5200,83.71570247933884,0.0628268737760317,5.2595958727412455,0.00125,0.08116951562158836,-0.1116110708039731,0.7272532647245143,-0.014702944826836822,27,0.5242873877391644,0.2726669269816478,25610
ALL7,2,2336,37.610156043374765,0.03608007926900223,1.356977411364505,0.005,0.07631270124063949,-0.20302619940974173,0.37587612565522815,-0.05282750148779102,16,0.9069692637598284,0.00954253037884203,27980
