cond,side,rr,n,ndays,nsyms,wr,be,lift_pts,expR,ci_lo,ci_hi,p_neg,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,hold_h,top3_frac
h1_cover_rally_6h,1,2.0,1102,773,2,0.3563636363636364,0.35693319837703524,-0.0569562013398861,-0.008228875716610693,-0.10672724612728306,0.09084224823680895,0.5825,751,0.3586666666666667,0.0005773949248029524,351,0.3514285714285714,-0.02707078241661539,60.993194192377494,0.011796733212341199
h1_unwind_dn_6h,-1,0.25,4067,1554,2,0.8087042045733956,0.8289092027491527,-2.020499817575705,-0.03165523351276846,-0.04863348357774566,-0.014284076999221565,1.0,2656,0.8098644578313253,-0.029055831385279726,1411,0.8065201984408221,-0.03654822575274725,8.202667814113598,0.006638800098352594
h1_unwind_dn_6h,-1,0.5,3050,1419,2,0.6724590163934426,0.693596538709147,-2.1137522315704316,-0.03852980630984062,-0.07179141412478134,-0.006590331493331051,0.99125,2000,0.67,-0.04103433223419342,1050,0.6771428571428572,-0.03375928073964483,15.200163934426229,0.006885245901639345
h1_unwind_dn_6h,-1,0.75,2419,1293,2,0.576684580405126,0.5971546236381515,-2.047004323302548,-0.043010324154892796,-0.08817539669391308,-0.0022858481700391616,0.98125,1596,0.5770676691729323,-0.04108802564613993,823,0.5759416767922235,-0.046738135114758605,22.00051674245556,0.007441091360066143
h1_unwind_dn_6h,-1,1.0,2006,1161,2,0.5054835493519442,0.5246536654651417,-1.9170116113197522,-0.04575030486356503,-0.10933097272948934,0.008055779597681056,0.9625,1324,0.5015105740181269,-0.05236447535951724,682,0.5131964809384164,-0.032909891759986286,28.67248255234297,0.00847457627118644
h1_unwind_dn_6h,-1,2.0,1170,811,2,0.3373287671232877,0.35636823873497364,-1.9039471611685954,-0.06290172817193616,-0.17840463469971787,0.043583382432269946,0.88875,768,0.32985658409387225,-0.0848335179513639,402,0.3516209476309227,-0.02100218948885037,58.90876068376068,0.011965811965811967
h1_build_long_24h,1,0.25,3734,1278,2,0.804767005891805,0.8304462119840554,-2.5679206092250384,-0.03824449107922713,-0.058681402990262255,-0.019268694704834062,1.0,2559,0.807346619773349,-0.033471894278237664,1175,0.7991489361702128,-0.04863859764410545,7.259172469201928,0.009105516871987145
h1_build_long_24h,1,0.5,2555,1155,2,0.6794520547945205,0.6953267430033953,-1.587468820887472,-0.030164045754107686,-0.06570898589855861,0.0056896724499231055,0.94375,1727,0.6786334684423856,-0.030130104869901114,828,0.6811594202898551,-0.03023483791235015,13.735420743639922,0.010958904109589041
h1_build_long_24h,1,0.75,2000,1072,2,0.5835,0.5985835028435692,-1.5083502843569185,-0.03300069862677515,-0.07814165294750315,0.011776847160664745,0.9275,1348,0.5801186943620178,-0.037671973112310596,652,0.5904907975460123,-0.023342910273244793,19.979875,0.011
h1_build_long_24h,1,1.0,1645,990,2,0.5045592705167173,0.5261048115444377,-2.1545541027720327,-0.04999508523964115,-0.11238166988294031,0.003293585550571443,0.96,1115,0.5013452914798207,-0.054899976735031074,530,0.5113207547169811,-0.03967630407481141,26.26869300911854,0.011550151975683891
h1_build_long_24h,1,2.0,998,739,2,0.3456913827655311,0.35673710071225084,-1.1045717946719769,-0.04107563029344918,-0.15369392347284255,0.07511718934618851,0.74375,676,0.3505917159763314,-0.025076288856575608,322,0.33540372670807456,-0.07466430983173032,53.230961923847694,0.011022044088176353
h1_build_short_24h,-1,0.25,3051,1155,2,0.8215808461790751,0.8284136855239799,-0.6832839344904751,-0.01578845705607932,-0.03526675147436272,0.002749492601904478,0.955,2104,0.8179657794676806,-0.019533522236054698,947,0.8296296296296296,-0.007467847617147752,7.363897082923631,0.010160603080957063
h1_build_short_24h,-1,0.5,2175,1061,2,0.6962724344224575,0.6934262023724167,0.28462320500407534,-0.0032848098008513146,-0.03730448371617863,0.02855573437255392,0.58625,1501,0.7021985343104596,0.0062414657210899255,674,0.6830357142857143,-0.02449985365609434,13.78551724137931,0.013793103448275862
h1_build_short_24h,-1,0.75,1728,987,2,0.5996523754345308,0.5963910348008578,0.32613406336730044,-0.0024774412122693535,-0.05573787875212836,0.04620500724203484,0.5425,1184,0.6097972972972973,0.01627512272323709,544,0.577490774907749,-0.04329184507190099,19.86284722222222,0.01273148148148148
h1_build_short_24h,-1,1.0,1450,905,2,0.5276243093922652,0.524191129256376,0.34331801358892244,-0.0011521140546709209,-0.06541633624933081,0.05713132761032292,0.50625,981,0.5351681957186545,0.014271027085878194,469,0.5117773019271948,-0.03341245831667236,26.192931034482758,0.012413793103448275
h1_build_short_24h,-1,2.0,918,693,2,0.3558951965065502,0.355199255631881,0.0695940874669232,-0.005851964438648671,-0.11930482734184986,0.1056855387147205,0.5275,613,0.3556280587275693,-0.008140286502877401,305,0.3564356435643564,-0.0012528122243135628,50.91639433551198,0.013071895424836602
h1_cover_rally_24h,1,0.25,2895,1232,2,0.8013816925734024,0.8300531565113977,-2.8671463937995245,-0.04260529799619017,-0.06301819978647777,-0.02132494096680919,1.0,1953,0.8115719406041987,-0.029005979533110886,942,0.7802547770700637,-0.07080006334480358,8.11321243523316,0.01070811744386874
h1_cover_rally_24h,1,0.5,1996,1087,2,0.6633266533066132,0.6962030952173425,-3.287644191072925,-0.056056316539007375,-0.09435809706818632,-0.019926639967124377,0.9975,1347,0.6659242761692651,-0.051212260891675555,649,0.6579352850539292,-0.0661101577669827,16.43499498997996,0.012024048096192385
h1_cover_rally_24h,1,0.75,1624,993,2,0.5695812807881774,0.5993691072887603,-2.978782650058287,-0.05918515488420197,-0.10963608220099803,-0.007816921911722573,0.99,1098,0.5683060109289617,-0.06060519619737128,526,0.5722433460076045,-0.05622088613541886,22.957666256157637,0.01293103448275862
h1_cover_rally_24h,1,1.0,1368,897,2,0.4926900584795322,0.5267861806965164,-3.4096122216984215,-0.07584724626074282,-0.14085789674136792,-0.005860841153757352,0.98375,938,0.4946695095948827,-0.07093791120652183,430,0.4883720930232558,-0.08655644691390395,30.69170321637427,0.013888888888888888
h1_cover_rally_24h,1,2.0,876,632,2,0.3481735159817352,0.35830938643002536,-1.0135870448290174,-0.038708960197025986,-0.15388301139582405,0.09424772533462786,0.6975,598,0.35451505016722407,-0.018528211315424897,278,0.3345323741007194,-0.08211934807903122,63.07391552511415,0.01598173515981735
