rule,rr,n,wr,be,expR,ci_lo,ci_hi,R_per_month,tpm,n_tr,e_tr,wr_tr,n_te,e_te,wr_te,hold_h,nights,costR,stop_frac,slip_headroom_bps,lose_streak,years,atr_mult
S_volspike18_dn,1.0,415,0.563855421686747,0.5317035459211887,0.04979023400110024,-0.04473889657581159,0.14689265083935346,0.3424574101863696,6.878003629764065,278,0.09710306129391634,0.5863309352517986,137,-0.04621681700184047,0.5182481751824818,11.452008032128512,0.472289156626506,0.07792060937239374,0.01791825717441153,3.8000000000000003,7,2021:+0.072(34)  2022:+0.128(114)  2023:+0.222(58)  2024:-0.041(72)  2025:-0.063(96)  2026:-0.008(41),1.0
S_volspike18_dn,1.5,374,0.46524064171123,0.4278417426742556,0.07895411586164948,-0.04016954203543799,0.1961238608278297,0.4893962990601997,6.19849001814882,249,0.1330087061249133,0.4859437751004016,125,-0.028722627942772014,0.424,16.19674688057041,0.6711229946524064,0.08414748841642539,0.017751209208160482,6.000000000000001,6,2021:+0.200(30)  2022:+0.166(101)  2023:+0.215(54)  2024:-0.020(64)  2025:-0.049(89)  2026:+0.022(36),1.0
S_volspike18_dn,2.0,340,0.37941176470588234,0.35805515293184437,0.048896521800960074,-0.09600158133173209,0.19778348125563122,0.2755314566413156,5.634990925589836,226,0.12175931850556926,0.4026548672566372,114,-0.09555077692922999,0.3333333333333333,21.17107843137255,0.8588235294117647,0.08933877231668698,0.01792494493118341,3.8000000000000003,13,2021:+0.344(30)  2022:+0.131(87)  2023:+0.188(50)  2024:-0.061(59)  2025:-0.108(82)  2026:-0.065(32),1.0
L_uptrend_run3,0.25,681,0.8179148311306902,0.8518932910719826,-0.050021748235294344,-0.09019261377080919,-0.009549205567165686,-0.5916877792229883,11.828610556348073,506,-0.03418847701866212,0.8260869565217391,175,-0.09580252101024235,0.7942857142857143,3.698604992657856,0.1130690161527166,0.07241528714865705,0.014746176059630104,0.0,4,2021:+0.014(66)  2022:-0.129(70)  2023:-0.052(167)  2024:-0.003(203)  2025:-0.089(121)  2026:-0.112(54),1.0
L_uptrend_run3,0.33,667,0.7511244377811095,0.8013466141457801,-0.0743898977465336,-0.1205595756208106,-0.02999846464880169,-0.8618395441362567,11.585437945791725,494,-0.05766876801130191,0.7591093117408907,173,-0.12213693872459401,0.7283236994219653,4.896426786606697,0.1454272863568216,0.07338539999540916,0.014784905082530733,0.0,5,2021:-0.046(65)  2022:-0.164(70)  2023:-0.068(162)  2024:-0.015(197)  2025:-0.132(119)  2026:-0.101(54),1.0
L_uptrend_run3,0.5,616,0.6785714285714286,0.7120088235076403,-0.05790343643847258,-0.11548751970288332,-0.0032530712022197767,-0.6195433111527856,10.699594864479314,456,-0.056455510857282884,0.6754385964912281,160,-0.062030024344863245,0.6875,6.977949134199133,0.2012987012987013,0.07576057929561544,0.014712568028893166,0.0,5,2021:-0.082(59)  2022:-0.139(62)  2023:-0.035(155)  2024:-0.038(180)  2025:-0.078(112)  2026:-0.025(48),1.0
L_uptrend_run3,0.75,558,0.5931899641577061,0.6121605518947385,-0.04088378994140763,-0.10819526379834198,0.02582282682875175,-0.3962524574753655,9.69216547788873,414,-0.045472513521609484,0.5869565217391305,144,-0.027691209648327282,0.6111111111111112,9.643966547192354,0.30286738351254483,0.07896622721739328,0.014750553387189466,0.0,7,2021:-0.158(53)  2022:-0.126(54)  2023:-0.006(143)  2024:-0.017(164)  2025:-0.025(101)  2026:-0.034(43),1.0
L_uptrend_run3,1.0,514,0.5252918287937743,0.5366483632316739,-0.030573605928594528,-0.11647636935883789,0.052755153092728116,-0.2729843238362594,8.928757846680616,387,-0.020026284905734035,0.5271317829457365,127,-0.06271386762817731,0.5196850393700787,12.123865110246433,0.37937743190661477,0.08115726351614315,0.014866812865076741,0.0,8,2021:-0.091(50)  2022:-0.186(50)  2023:+0.058(133)  2024:-0.011(154)  2025:-0.060(90)  2026:-0.069(37),1.0
L_uptrend_run3,1.5,437,0.4302059496567506,0.43279329618240225,-0.015352377358972871,-0.13825667135947195,0.10739504849677375,-0.11654267964317158,7.591181282100058,326,-0.008331892155024535,0.4294478527607362,111,-0.03597109966966795,0.43243243243243246,18.205949656750573,0.6430205949656751,0.09086725150084929,0.014899512274564583,0.0,14,2021:-0.043(42)  2022:-0.360(42)  2023:+0.050(116)  2024:+0.067(126)  2025:-0.098(78)  2026:+0.110(33),1.0
L_uptrend_run3,2.0,393,0.361323155216285,0.36307473997411305,-0.013840155035295003,-0.16824352708593607,0.14545493544394958,-0.09448468754508159,6.826851816625452,292,-0.019919468575796902,0.3561643835616438,101,0.0037356821313045017,0.37623762376237624,23.213316369804918,0.8549618320610687,0.09780962068414996,0.014878033309632435,0.0,14,2021:+0.022(36)  2022:-0.466(39)  2023:+0.012(108)  2024:+0.094(109)  2025:-0.076(71)  2026:+0.194(30),1.0
