rr,name,side,n,wr,be,expR,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,se,hold,nights,costR,tf
0.25,rsi<30,1,570,0.775438596491228,0.8260026604858778,-0.07190591486480856,386,0.7875647668393783,-0.05062013108585369,184,0.75,-0.11655978735761607,0.017478487005606697,7.9149122807017545,0.24035087719298245,0.04120416047884364,4H
0.25,bb_break_up,1,775,0.8206451612903226,0.8369283965162362,-0.02767005740371983,553,0.8372513562386981,-0.00023735004559713582,222,0.7792792792792793,-0.09600468429129574,0.013781084771250446,7.444731182795699,0.23225806451612904,0.05347650901662306,4H
0.25,div_bull,1,131,0.7633587786259542,0.8319775179033553,-0.09484785269293879,85,0.8,-0.04529485462403525,46,0.6956521739130435,-0.18641317521156484,0.037134185575094264,10.951017811704833,0.3282442748091603,0.04904632597538152,4H
0.25,d1_trend,1,6228,0.8090879897238279,0.8380428981812098,-0.04406930370192906,4625,0.8179459459459459,-0.024907399554459662,1603,0.7835308796007486,-0.09935552122036073,0.004980124507534564,10.047567437379577,0.3236994219653179,0.05542929085671391,4H
0.25,all,-1,11128,0.8076404494382022,0.8343714243524264,-0.04228780683239911,7907,0.8085240925761983,-0.03483320874556823,3221,0.805469235550031,-0.06058756065809667,0.003736938046823126,10.031849089384137,0.3216211358734723,0.0517638892356876,4H
0.25,trend,-1,5715,0.8212535014005602,0.831632460800703,-0.02262850243624237,3916,0.826608784473953,-0.011679377675606784,1799,0.8095768374164811,-0.04646217256556364,0.005069478544852097,10.282618839311752,0.3312335958005249,0.04904142369324924,4H
0.25,trend+50,-1,5046,0.8177672020622645,0.8304730764033911,-0.024859935431540754,3470,0.8250720461095101,-0.013777893219304557,1576,0.8016528925619835,-0.04926011720594406,0.005436052367003784,8.912967366891268,0.2804201347602061,0.046897161944381476,4H
0.25,trend+d1,-1,3818,0.8201834862385321,0.8293500154747839,-0.02076041533358431,2637,0.8229048160788776,-0.013000003747013239,1181,0.8140916808149405,-0.03808827761452245,0.0062176035371980035,10.336650951632619,0.3323729701414353,0.04576037473216846,4H
0.25,trend+macd,-1,1772,0.8221343873517787,0.831194087580083,-0.02147632890004503,1223,0.8233851185609158,-0.015233005905793818,549,0.8193430656934306,-0.03538449651747533,0.009086740437058021,10.296886756960122,0.3391647855530474,0.049125614582644896,4H
0.25,volspike1.8+bar,-1,447,0.8635346756152126,0.8321294721061318,0.029912478449808367,300,0.8666666666666667,0.03782794019648345,147,0.8571428571428571,0.013758474885165345,0.016236682005948345,7.977815063385533,0.319910514541387,0.04950586606920728,4H
0.25,volspike2.5+bar,-1,180,0.8833333333333333,0.8330544238727511,0.052885160669055804,113,0.8849557522123894,0.05998577664749055,67,0.8805970149253731,0.04090949491438224,0.02392761718595337,8.174537037037036,0.32222222222222224,0.051281505997610874,4H
0.25,trend+run3,-1,658,0.817629179331307,0.8293268219557266,-0.023900039353228722,430,0.8255813953488372,-0.010538263215187915,228,0.8026315789473685,-0.049099880315323224,0.015053688338062348,9.229103343465045,0.30547112462006076,0.04593651351736246,4H
0.25,trend+pullback_ema20,-1,1883,0.8176501860712387,0.8313675210256182,-0.026147269294104863,1272,0.8231132075471698,-0.015090407186819798,611,0.80623973727422,-0.049165810375064914,0.00890311605184945,8.762966896795893,0.2697822623473181,0.04807042173193568,4H
0.25,trend+rsi<40,-1,406,0.8374384236453202,0.8331610538697463,-0.00045497835980635,300,0.8433333333333334,0.008048092724358968,106,0.8207547169811321,-0.024520273881028988,0.018311434840843216,6.18123973727422,0.1748768472906404,0.0472530079164566,4H
0.25,trend+bb_lo,-1,181,0.7679558011049724,0.8345049039419055,-0.09036428716049158,119,0.7478991596638656,-0.1142666221971403,62,0.8064516129032258,-0.044487224751439985,0.0313771997889829,6.30156537753223,0.19337016574585636,0.05030903854170705,4H
0.25,trend+hammer,-1,369,0.8184281842818428,0.8317925480628523,-0.024811486472038357,267,0.8164794007490637,-0.024642156534738623,102,0.8235294117647058,-0.02525473248438176,0.020067872060531372,8.970415537488707,0.2764227642276423,0.04784671682434187,4H
