rr,name,side,n,wr,be,expR,n_tr,wr_tr,e_tr,n_te,wr_te,e_te,se,hold,nights,costR,tf
0.33,trend+marubozu,-1,94,0.8085106382978723,0.7803508362526166,0.03119225371964069,57,0.7368421052631579,-0.06043513460352736,37,0.918918918918919,0.17234796005533204,0.04058366536211119,7.718971631205673,0.22340425531914893,0.04412689521652952,4H
0.33,trend+lowvol,-1,1824,0.7816785518376302,0.8014548739301656,-0.03449333361463872,1342,0.7913561847988078,-0.014088629165170409,482,0.7546777546777547,-0.09130477214407125,0.00967540081493253,14.62778691520468,0.4753289473684211,0.07412825928928833,4H
0.33,trend+hivol,-1,1950,0.7716777834787071,0.7756401731656407,-0.00896582141531728,1138,0.7697715289982425,-0.007669502142886432,812,0.7743526510480888,-0.010782584139487607,0.009507934143644741,12.474529914529915,0.4082051282051282,0.03502405086336544,4H
0.33,trend+near_ema200,-1,760,0.8105263157894737,0.790153845265382,0.01587048851467695,516,0.8313953488372093,0.05129316915532521,244,0.7663934426229508,-0.05903977054505461,0.0142151423712355,15.74923245614035,0.5157894736842106,0.06212951148532306,4H
0.33,trend+far_ema200,-1,2071,0.7467312348668281,0.7774666087929415,-0.04885725551164622,1432,0.7458100558659218,-0.048118898832683756,639,0.7488151658767772,-0.050511913984688836,0.009570022245669559,11.289192016739094,0.3684210526315789,0.04142665625737298,4H
0.33,rsi>70,-1,570,0.7859649122807018,0.777747201509348,0.0018256440575186645,386,0.7849740932642487,0.005553497216024169,184,0.7880434782608695,-0.0059947435467374525,0.017179346481059725,11.403362573099416,0.35964912280701755,0.043507689275814686,4H
0.33,rsi<30,-1,804,0.7077114427860697,0.7844620152190966,-0.10648799077017579,640,0.7046875,-0.10703832603686395,164,0.7195121951219512,-0.10434034094895374,0.016040060100558043,7.929208126036485,0.22388059701492538,0.047744209675648436,4H
0.33,bb_break_up,-1,728,0.8118131868131868,0.7826774561887918,0.02971366862026585,520,0.8057692307692308,0.02671531734513169,208,0.8269230769230769,0.037209546808101256,0.014486282661283012,10.050709706959708,0.33379120879120877,0.04999786984127262,4H
0.33,div_bull,-1,149,0.7651006711409396,0.7897058626601956,-0.04322521853496927,118,0.7627118644067796,-0.03575315693120033,31,0.7741935483870968,-0.0716672594783478,0.03473018088299077,17.20581655480984,0.5369127516778524,0.06080911115241894,4H
0.33,d1_trend,-1,4900,0.7605230894973437,0.7818578324535552,-0.03777282155395978,3282,0.7586837294332724,-0.035051218757058016,1618,0.7642679900744417,-0.04329340275261961,0.006100368118465019,12.41372448979592,0.40816326530612246,0.0489996029711843,4H
0.5,all,1,11128,0.666606725409099,0.6990340351324801,-0.0582866659653146,7907,0.6744656633362843,-0.03970131975064635,3221,0.6472783825816485,-0.10391048854196218,0.0044701471277044874,17.26437814521927,0.5975017972681524,0.05816419179757843,4H
0.5,trend,1,5413,0.692591908368742,0.7025142379459481,-0.02297825604319132,3991,0.6993234778251065,-0.002695810433203136,1422,0.6736990154711674,-0.0799031789893677,0.006271585401871086,17.29904858673564,0.5987437650101607,0.06186611859630419,4H
0.5,trend+50,1,4770,0.6859538784067086,0.7028606919334903,-0.03337710221986617,3567,0.6958228202971685,-0.007663574607734446,1203,0.656691604322527,-0.10961995591269566,0.006720243130795398,17.690059399021663,0.6163522012578616,0.06230791982992906,4H
0.5,trend+d1,1,4331,0.6894481643962134,0.7031084208633528,-0.02885303518296782,3346,0.6939629408248655,-0.01111965899216375,985,0.6741116751269035,-0.08909250394888701,0.007031107990033612,17.961344570153162,0.6234126067882706,0.06302528177728783,4H
0.5,trend+macd,1,1727,0.6977417486971627,0.7017895654829004,-0.013137640602551997,1232,0.7094155844155844,0.013643239543080641,495,0.6686868686868687,-0.07979227563168213,0.011050712203208453,15.374155568423083,0.5211349160393747,0.05975026364829607,4H
0.5,volspike1.8+bar,1,376,0.7047872340425532,0.7018038359978185,-0.0036741518174197682,273,0.7326007326007326,0.04674422867022965,103,0.6310679611650486,-0.13730733505167503,0.023523538956439098,11.680629432624112,0.4521276595744681,0.060855002881249544,4H
0.5,volspike2.5+bar,1,162,0.7283950617283951,0.699670612479435,0.03721206650849456,122,0.7377049180327869,0.055366124068386015,40,0.7,-0.018157809049174346,0.03494578656476542,8.435185185185185,0.30246913580246915,0.05538052608409803,4H
0.5,trend+run3,1,704,0.7130681818181818,0.7003079466698763,0.013827315140472075,524,0.7041984732824428,0.004738268355844058,180,0.7388888888888889,0.040286540224611464,0.017047808355903773,12.854876893939394,0.43323863636363635,0.05577495758680065,4H
0.5,trend+pullback_ema20,1,1649,0.6864766525166768,0.7031119261399947,-0.033613470408660785,1208,0.6804635761589404,-0.031321988545498926,441,0.7029478458049887,-0.03989036403836489,0.011424507878704134,17.24919142914898,0.6033959975742874,0.06332844918367593,4H
0.5,trend+rsi<40,1,334,0.6467065868263473,0.6982465113682593,-0.08291665670039335,260,0.6653846153846154,-0.048417889425425575,74,0.581081081081081,-0.2041285417205504,0.026154605814934798,12.25748502994012,0.39520958083832336,0.052976536939914304,4H
0.5,trend+bb_lo,1,171,0.6140350877192983,0.7001811672723899,-0.13442775257503242,141,0.624113475177305,-0.11436875452554439,30,0.5666666666666667,-0.22870504340762599,0.037228235430492,13.507309941520468,0.4444444444444444,0.055480384153979774,4H
0.5,trend+hammer,1,448,0.671875,0.7030151788482767,-0.05589889127093776,345,0.6927536231884058,-0.011903829733844863,103,0.6019417475728155,-0.2032609905942101,0.02218323572578232,19.016183035714285,0.6808035714285714,0.06371139127093775,4H
0.5,trend+bull_engulf,1,526,0.6615969581749049,0.703731190702744,-0.07192465116757446,380,0.6815789473684211,-0.02953302167038266,146,0.6095890410958904,-0.18225902931095042,0.02063103457558466,18.580164765525982,0.6406844106463878,0.0643200884299319,4H
0.5,trend+marubozu,1,122,0.680327868852459,0.7034464743188172,-0.04739187551660405,82,0.7073170731707317,0.012885550934751473,40,0.625,-0.1709605997418829,0.04222130024509329,18.032103825136616,0.6639344262295082,0.06788367879529258,4H
0.5,trend+lowvol,1,2354,0.6813933729821581,0.7117990568984683,-0.05514334610856027,1504,0.6988031914893617,-0.011278009478950267,850,0.6505882352941177,-0.13275918880377607,0.009603358151277833,18.883743981874822,0.6559048428207307,0.07723340558179731,4H
0.5,trend+hivol,1,1403,0.7191732002851033,0.694970196459617,0.03348452242911082,1275,0.7231372549019608,0.04030682753400427,128,0.6796875,-0.034472032326664,0.011997953860859658,16.827393680209077,0.5723449750534568,0.045275277998544215,4H
0.5,trend+near_ema200,1,667,0.7016491754122939,0.7021147226631094,-0.008413198826639247,430,0.6883720930232559,-0.022123274048594828,237,0.7257383966244726,0.01646162119631816,0.017715797761832342,16.193153423288354,0.5427286356821589,0.06088696194508002,4H
0.5,trend+far_ema200,1,2629,0.6911373145682769,0.7008824207828521,-0.01845237907310243,2042,0.6993143976493633,-0.0022717158352437545,587,0.6626916524701874,-0.07474013773018487,0.009010929650616714,14.568974261442882,0.4811715481171548,0.05515835092551779,4H
