variant,stop,rr,n,wr,be,expR,e_tr,e_te,lo,hi,p,tpm,level,tf
RSI_only,atr,0.25,3830,0.8221932114882506,0.8205396489922017,-0.012667657698726445,-0.007164466722808758,-0.02541314329230204,-0.03435539888066448,0.008662552014232633,0.87175,61.69073110503572,secondary,4H
RSI_only,atr,0.5,3715,0.6899057873485868,0.6859743594192597,-0.009247089286472235,-0.01091146266865076,-0.005395720371779018,-0.04101833984779732,0.021820748068083685,0.72625,59.838398447834905,secondary,4H
RSI_only,atr,0.75,3575,0.5972027972027972,0.5901014689347216,-0.0029719509433990903,-0.0047553651789779515,0.0012143968923651635,-0.04567264577682673,0.037295078793210354,0.5535,57.58338477819913,secondary,4H
RSI_only,atr,1.0,3424,0.5238095238095238,0.5182791508308068,-0.004803528618882973,-0.018748627647467573,0.027971547571586913,-0.052169910609271244,0.04433984296601758,0.593,55.15119146309198,secondary,4H
RSI_only,atr,2.0,2926,0.34108792336640437,0.35091991006950973,-0.04427366244999962,-0.10354237347572023,0.09465219619428952,-0.11632674480155929,0.03286789892724133,0.876,47.158898693964,secondary,4H
RSI_only,spec,0.25,3688,0.8150759219088937,0.8183200066505263,-0.02077692029777047,-0.013433941228033463,-0.038030586831294205,-0.04335919273843943,0.00247011233930804,0.961,59.40350295440515,secondary,4H
RSI_only,spec,0.5,3431,0.6884290294374817,0.6854064830129247,-0.01171066784655113,-0.011235828514103732,-0.012839345984209069,-0.04512207859181283,0.02165545792436048,0.75675,55.26394214657377,secondary,4H
RSI_only,spec,0.75,3191,0.5931618569636136,0.590615569236303,-0.010882620942230636,-0.020425467068328356,0.012317782381540302,-0.05329866023570733,0.0314515077102338,0.695,51.398204427198166,secondary,4H
RSI_only,spec,1.0,2978,0.5181818181818182,0.5195632685160199,-0.016632467866747408,-0.05120950031870654,0.06769396693525913,-0.06594462053686743,0.03370503750351677,0.738,47.967362201252314,secondary,4H
RSI_only,spec,2.0,2330,0.3463203463203463,0.353437737890556,-0.03039682637000139,-0.11144684108941721,0.17686847844682535,-0.10939589170390866,0.05110025052106313,0.775,37.55305330038828,secondary,4H
WT+MFI,atr,0.25,823,0.8359659781287971,0.8179272168453353,0.008598978952579961,0.002985400108661323,0.02608527705138651,-0.03434328159358486,0.046567751377725446,0.35025,13.273818438714235,secondary,4H
WT+MFI,atr,0.5,810,0.6950617283950618,0.683286281354594,0.0031881953632090943,-0.00959494926205824,0.042965188537264304,-0.05928301770579654,0.05999450439864746,0.4725,13.064146944542564,secondary,4H
WT+MFI,atr,0.75,794,0.6070528967254408,0.5874793459325803,0.019550412761665473,-0.015112990325769765,0.1260292766046076,-0.05877559528864771,0.09290428471608764,0.315,12.806089720946662,secondary,4H
WT+MFI,atr,1.0,786,0.5292620865139949,0.5156067283673922,0.012492743146221428,-0.016606667364945777,0.10129094429370082,-0.07962482583724938,0.10268839810463733,0.40125,12.677061109148712,secondary,4H
WT+MFI,atr,2.0,756,0.3412698412698413,0.349542745982826,-0.04069361564108004,-0.15607963172479078,0.3054644326100522,-0.18443378256190365,0.10667685679579786,0.7115,12.193203814906393,secondary,4H
WT+MFI,spec,0.25,816,0.821078431372549,0.8167049640477645,-0.01037692114437997,0.0010503294495805187,-0.04628285067565684,-0.05177425349660038,0.026644640378929527,0.71075,13.160918403391028,secondary,4H
WT+MFI,spec,0.5,801,0.7016229712858927,0.6832530216716485,0.01191750694044037,0.0009002020952495324,0.04615590045934114,-0.05252444021844724,0.07019475400503833,0.36375,12.91898975626987,secondary,4H
WT+MFI,spec,0.75,786,0.6106870229007634,0.5882388854646817,0.02439137578533984,-0.003622367688261145,0.11046469122495321,-0.05239965432488114,0.10110745808022485,0.2865,12.677061109148712,secondary,4H
WT+MFI,spec,1.0,775,0.5367741935483871,0.5172872785890393,0.02471616980270778,-0.02803269196140662,0.1894160732895969,-0.06579024275128073,0.12089168708045607,0.294,12.499646767926528,secondary,4H
WT+MFI,spec,2.0,732,0.336986301369863,0.35172057201305723,-0.058118472214444536,-0.17359453855884463,0.301284565733857,-0.19670261942089953,0.07805924563222502,0.8005,11.806117979512539,secondary,4H
WT+RSI,atr,0.25,1498,0.822429906542056,0.8194573265033099,-0.00993936207878873,-0.014869494196456721,0.0036866312112484377,-0.042210930513639736,0.02106542404417823,0.7295,24.18196217076189,secondary,4H
WT+RSI,atr,0.5,1469,0.6963921034717495,0.6847469772888855,0.003312081093646872,-0.013321754918784286,0.04998162617515709,-0.04972102904812458,0.05449127929940523,0.44825,23.713820045960755,secondary,4H
WT+RSI,atr,0.75,1436,0.6107242339832869,0.5888766070471682,0.023823619983189756,0.015427405542501448,0.047324135534110995,-0.039584142814424544,0.0860531278311131,0.22575,23.18110659360085,secondary,4H
WT+RSI,atr,1.0,1411,0.5244507441530829,0.5173031649311003,-0.00037572633863139723,-0.023388892509853976,0.06297168586140953,-0.0732324840948653,0.07365589987111933,0.512,22.777535796358492,secondary,4H
WT+RSI,atr,2.0,1340,0.3373134328358209,0.3505194851276036,-0.05502514550642237,-0.11894814605276964,0.11965024038763518,-0.1699896911943656,0.060993688887131366,0.82625,21.631394732190206,secondary,4H
WT+RSI,spec,0.25,1468,0.8044959128065395,0.8179928388801303,-0.03297719023838792,-0.028461103456944838,-0.04537338762826742,-0.06985966071915141,0.0021946705774016084,0.967,23.697677214071064,secondary,4H
WT+RSI,spec,0.5,1428,0.6925770308123249,0.6845761658949572,-0.0038185622039712515,-0.003113074650784018,-0.0057853192819547405,-0.05854313212393275,0.046484540036258785,0.5805,23.051963938483294,secondary,4H
WT+RSI,spec,0.75,1391,0.612508986340762,0.5895419257890172,0.024697493353100085,0.01516330694924608,0.05071840959739867,-0.04044106381160399,0.08838837855504766,0.2325,22.45467915856461,secondary,4H
WT+RSI,spec,1.0,1359,0.5338733431516937,0.5187152215065156,0.015370421599392146,-0.021389889865052754,0.11699588099417335,-0.05669956893942738,0.09101737016574268,0.34575,21.938108538094397,secondary,4H
WT+RSI,spec,2.0,1241,0.34306569343065696,0.35288088452103544,-0.04075037257652655,-0.10909240314400444,0.14332563237456714,-0.15437344474400574,0.07044277458185495,0.76125,20.033254375110484,secondary,4H
WT_only,atr,0.25,1946,0.8180883864337102,0.8195972382337772,-0.016127464860638905,-0.023300025865446078,0.0029364472837169996,-0.044889132793130414,0.01160745577798195,0.877,31.352985179957656,secondary,4H
WT_only,atr,0.5,1924,0.6860706860706861,0.684867135439244,-0.012986949221649526,-0.02584368530611141,0.02136310901927918,-0.05623085555948585,0.027706465020659182,0.73425,30.99853211009174,secondary,4H
WT_only,atr,0.75,1896,0.5970464135021097,0.5888741424792315,-0.0007588744720393477,-0.012219435856300235,0.029973232851580635,-0.057269189552861734,0.053260357738413706,0.5285,30.547410021171487,secondary,4H
WT_only,atr,1.0,1865,0.5136729222520108,0.5174137994692103,-0.022698906069239178,-0.03996347211763871,0.023170676275038007,-0.09083613632648424,0.04445841755333732,0.75575,30.047953422724063,secondary,4H
WT_only,atr,2.0,1767,0.3293718166383701,0.3507417846010881,-0.0796731982981972,-0.12230606498690631,0.03333913220100485,-0.17399425878978772,0.011092987512765835,0.956,28.469026111503176,secondary,4H
WT_only,spec,0.25,1924,0.8113305613305614,0.8179982664544762,-0.025284255559603376,-0.022153378389867407,-0.03362729777000459,-0.05654336631247707,0.004329494743464568,0.95475,30.99853211009174,secondary,4H
WT_only,spec,0.5,1875,0.6864,0.6847653789000652,-0.014036146730872523,-0.021884879932626673,0.007027447676978487,-0.0598012889548753,0.02741278802928867,0.74875,30.209068454481297,secondary,4H
WT_only,spec,0.75,1838,0.6033732317736671,0.5897717892294209,0.007888234863810833,-0.00881523159939304,0.05295734658847161,-0.05048707610713417,0.06477807790668241,0.3935,29.612942836979535,secondary,4H
WT_only,spec,1.0,1797,0.5261692650334076,0.5189284112069246,-0.000830782325174967,-0.029832025826172916,0.0782908674752655,-0.06753309773252156,0.0639771570754705,0.53075,28.952371206774874,secondary,4H
WT_only,spec,2.0,1621,0.3411910669975186,0.35294836123580303,-0.047104996810496215,-0.10273252852172472,0.10267118196552223,-0.14587872510702532,0.04701552144335627,0.85275,26.116746647847563,secondary,4H
DIAG_any_two,atr,0.25,3911,0.7890565072871388,0.9206397384529771,-0.21627673231177452,-0.20097727396539247,-0.25287335513859316,-0.23663275224906838,-0.1955683512122192,1.0,64.30039405430342,primary,15m
DIAG_any_two,atr,0.5,3820,0.6612565445026178,0.7682698435670252,-0.2119088651986622,-0.19887118299235226,-0.24314135723955582,-0.23900886011304992,-0.1869545923525469,1.0,62.80427135961112,primary,15m
DIAG_any_two,atr,0.75,3690,0.5669376693766938,0.6592772910791436,-0.21246440799103675,-0.20580912221238684,-0.2285902024751124,-0.24040229752443681,-0.18399930186499458,1.0,60.666953224336396,primary,15m
DIAG_any_two,atr,1.0,3578,0.4941307993292342,0.5774300271867551,-0.21746580338318394,-0.20540018917874875,-0.24675149916291456,-0.25076014788498635,-0.18504143477314175,1.0,58.825571446253555,primary,15m
DIAG_any_two,atr,2.0,3172,0.3212484237074401,0.3859372832090611,-0.2424765613648472,-0.2284385691842199,-0.2759609930870478,-0.28885050725094413,-0.19518160981763716,1.0,52.150562500703266,primary,15m
DIAG_any_two,spec,0.25,1860,0.785483870967742,0.8696421100129224,-0.11856092786552778,-0.11486486199156352,-0.1301080604961612,-0.1413514030137855,-0.09444669511814653,1.0,30.591277430393355,primary,15m
DIAG_any_two,spec,0.5,1795,0.6629526462395543,0.7261335485244405,-0.10820721333068316,-0.11347740141602654,-0.09187925618042977,-0.14157660646986087,-0.07597131960122162,1.0,29.522227412664552,primary,15m
DIAG_any_two,spec,0.75,1736,0.5587557603686636,0.6238803020533138,-0.12760759075667316,-0.12889653879950844,-0.12358154164425422,-0.1674962995115257,-0.08618545107311563,1.0,28.551858935033795,primary,15m
DIAG_any_two,spec,1.0,1682,0.4815695600475624,0.5468578501702142,-0.14430488770398947,-0.15347442613457862,-0.11603956293008601,-0.19054205999591337,-0.09818541331166938,1.0,27.663725074151408,primary,15m
DIAG_any_two,spec,2.0,1477,0.3026404874746107,0.3673927074874313,-0.20782017850251713,-0.2349691127008983,-0.12419846128927119,-0.2810675526935022,-0.13409236581423722,1.0,24.29210578746827,primary,15m
MFI+RSI,atr,0.25,1724,0.7801624129930395,0.9224771934836464,-0.23208435222033796,-0.215440131807113,-0.27051620856795733,-0.2624003525262163,-0.20275863712534245,1.0,28.35449585483771,primary,15m
MFI+RSI,atr,0.5,1698,0.6595995288574794,0.7699441948988297,-0.22026653780235314,-0.2113342806303503,-0.24089952951545915,-0.25986511384776095,-0.1852397285255128,1.0,27.92687584774619,primary,15m
MFI+RSI,atr,0.75,1652,0.562953995157385,0.6609575958305455,-0.2264172249234164,-0.21246896912073054,-0.25920835773338163,-0.26945526281456766,-0.18364545020073458,1.0,27.17031737366119,primary,15m
