feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
to_lo96,short,1,1.5484848176956059,2.43858937326728,3496,-0.0822192246235879,0.10263921835691613,0.357837528604119,1292,-0.3031767000897139
since_hi480,long,1,16.0,47.0,3493,-0.08405368292070156,0.08348457459684491,0.3598625823074721,1034,-0.2654871874685217
atr_rank,long,9,0.9125,inf,3521,-0.08460030788499354,0.08293794963255294,0.3359840954274354,1564,-0.22659462396718288
since_lo480,long,0,-inf,35.0,3441,-0.08475317144548258,0.08278508607206389,0.34815460621912236,1586,-0.2406007570569808
to_hi96,long,3,2.855139547209417,3.7001787070528684,3496,-0.08658453083457834,0.08095372668296813,0.36155606407322655,1193,-0.2572017370701653
pos24,long,7,0.7015707559941756,0.7853460053125284,3503,-0.08894896005022396,0.07858929746732252,0.36283185840707965,1331,-0.23846745504762845
flow_eff,long,7,0.16725136852687542,0.25910686036875036,3505,-0.08930226910892045,0.07823598840862603,0.34978601997146935,784,-0.1735397137141414
to_hi96,long,0,-inf,1.2628983629486399,3496,-0.08961122199734442,0.07792703552020205,0.3538329519450801,1365,-0.22083311759107757
disp6,long,9,1.7503490145936287,inf,3505,-0.09016823656578797,0.0773700209517585,0.36262482168330956,1361,-0.3015078180578242
flow_eff,long,9,0.4775208277386536,inf,3505,-0.09087319619242666,0.07666506132511981,0.34122681883024253,700,-0.20304170822500586
since_lo480,short,0,-inf,35.0,3441,-0.09141801347763083,0.09344042950287319,0.3397268235977913,1585,-0.02655766191813387
range_per_trade,long,9,9.80293835338688e-08,inf,3506,-0.09164284273292043,0.07589541478462604,0.33685111237877924,45,-0.4667794053838611
range_rank,long,9,0.9020833333333333,inf,3457,-0.09233653460049074,0.07520172291705574,0.3442291003760486,1379,-0.19339011560715869
pos96,long,7,0.7289661531747977,0.8091362700493583,3495,-0.0945675636361709,0.07297069388137557,0.3616595135908441,967,-0.13838126977795873
tbi_ma96,short,0,-inf,-0.00909225637663121,3487,-0.09528248589452454,0.08957595708597949,0.3495841697734442,2120,-0.158566035293972
to_lo480,long,8,22.069812629910153,29.05920317291301,3457,-0.09686743817034546,0.07067081934720101,0.3644778709864044,1207,-0.24380265216913066
since_lo96,short,1,6.0,17.0,3879,-0.0969382544774987,0.08792018850300533,0.34287187419438,1438,-0.14246177609129015
atr_rank,short,8,0.7958333333333333,0.9125,3412,-0.09818446590632403,0.08667397707418,0.33821805392731535,1306,-0.07976181328132446
to_lo24,short,2,1.2268532248375712,1.5875579079812236,3503,-0.09820146792952422,0.0866569750509798,0.36140451041964033,1096,-0.2427937408348786
