label,risk,heat,fills,total,cagr,maxDD,mean_mo,med_mo,worst_mo,pos_mo,ge10,n_mo,breach,breach_dt,survived
IS_k40,0.002,0.02,170,0.23125227577534235,4639.708534643026,0.05546741570748402,0.23125227577534235,0.23125227577534235,0.23125227577534235,1.0,1.0,1,daily_loss,2021-01-11 14:03:00+00:00,False
IS_k40,0.002,0.03,220,0.3348935300584466,123321.50139177886,0.055413538032210906,0.3348935300584466,0.3348935300584466,0.3348935300584466,1.0,1.0,1,daily_loss,2021-01-11 12:06:00+00:00,False
IS_k40,0.002,0.06,324,0.6560237995269953,777055059.1205592,0.05887103492128184,0.6560237995269953,0.6560237995269953,0.6560237995269953,1.0,1.0,1,daily_loss,2021-01-11 12:06:00+00:00,False
IS_k40,0.0035,0.01,1170,1.5527573541045139,1.985058324623966,0.09116706961806022,0.09171610000430536,0.07869392930111152,-0.031240846173779868,0.9090909090909091,0.45454545454545453,11,daily_loss,2021-11-10 21:20:00+00:00,False
IS_k40,0.0035,0.02,104,0.21120177116047967,2382.432439733538,0.051672271526861345,0.21120177116047967,0.21120177116047967,0.21120177116047967,1.0,1.0,1,daily_loss,2021-01-11 14:03:00+00:00,False
IS_k40,0.0035,0.03,142,0.3534424924079642,215905.40011412743,0.06889938495078343,0.3534424924079642,0.3534424924079642,0.3534424924079642,1.0,1.0,1,daily_loss,2021-01-11 06:48:00+00:00,False
IS_k40,0.0035,0.06,231,0.7950594861131368,20481721929.721127,0.07889245834629098,0.7950594861131368,0.7950594861131368,0.7950594861131368,1.0,1.0,1,daily_loss,2021-01-11 06:48:00+00:00,False
IS_k40,0.005,0.01,42,0.0528021469856621,7.070604929306997,0.039009413685362725,0.0528021469856621,0.0528021469856621,0.0528021469856621,1.0,0.0,1,daily_loss,2021-01-11 14:11:00+00:00,False
IS_k40,0.005,0.02,80,0.22417593246475653,3671.7867717036142,0.053826166474707726,0.22417593246475653,0.22417593246475653,0.22417593246475653,1.0,1.0,1,daily_loss,2021-01-11 06:50:00+00:00,False
IS_k40,0.005,0.03,111,0.3638506330833975,294635.37155472045,0.06870048076009116,0.3638506330833975,0.3638506330833975,0.3638506330833975,1.0,1.0,1,daily_loss,2021-01-11 06:48:00+00:00,False
