feature,side,bin,lo,hi,n,exp_r,lift,wr,n_test,exp_r_test
flow_eff,short,6,0.03054341328706755,0.0453296144918165,14014,-0.2084736490164077,0.05066477711179024,0.3308834023119737,4053,-0.24540522958536995
kyle,short,6,3.617248392287391e-07,4.0455602731677725e-07,14014,-0.20858675699178159,0.050551669136416344,0.3289567575281861,3273,-0.1828177764752809
since_lo24,long,3,8.0,11.0,12583,-0.20859665783569303,1.06667344822789,0.3435587697687356,4565,-0.3188144789203385
trade_intensity,short,8,1.3135444981422806,1.8618869314542148,14007,-0.20860503326473426,0.05053339286346367,0.3384736203326908,5110,-0.2814578504366795
trade_intensity,long,9,1.8618509830963998,inf,14008,-0.20867090959947585,1.066599196464107,0.33123929183323814,5897,-0.2984735631031662
to_lo24,long,3,1.6011303606601537,1.9690197974174553,14014,-0.20902528137682083,1.0662448246867622,0.3470814899386328,4560,-0.29814962553804675
avg_trade_usd,short,8,4628.725017655865,5172.948835086905,14015,-0.20908657407056525,0.050051852057632684,0.3247235105244381,5536,-0.3180755950933933
absorb,short,4,-0.05858870009045501,-0.008954280613520861,14002,-0.20912605700633224,0.050012369121865685,0.3325953435223539,4616,-0.29306347937224037
tbi_ma8,short,3,-0.013904659913368677,-0.007966954248855913,14010,-0.20921034198525162,0.049928084142946305,0.337615988579586,3874,-0.29083627622510905
kyle_z,short,8,0.7763344334518952,1.321506298378417,13958,-0.20921542010234254,0.04992300602585539,0.33521994555093854,5504,-0.27561948519886714
to_lo480,short,4,10.498400462213171,13.04754127820948,13968,-0.20951175092710422,0.049626675201093706,0.34170962199312716,5485,-0.23782633549841437
tbi_ma96,short,1,-0.011975481988466043,-0.008730351014881609,13958,-0.20956523549879022,0.04957319062940771,0.3431723742656541,5127,-0.2643747769590245
minofday,short,0,-inf,135.0,13146,-0.20958321873566166,0.04955520739253627,0.3396470409249962,4833,-0.27648490071518783
pos24,long,9,0.8624044475330149,inf,14015,-0.2097702478521048,1.065499858211478,0.3414912593649661,6272,-0.3597700105325377
dq_cum24,long,9,0.6713955952125215,inf,14002,-0.21001237183510155,1.0652577342284815,0.3607341808313098,8747,-0.3781768755252034
tbi_ma24,long,9,0.013944643677421754,inf,14002,-0.21006161400050527,1.0652084920630775,0.3608770175689187,8761,-0.3780063458753821
persist6,long,9,0.770002493049143,inf,14017,-0.21009598745922087,1.0651741186043622,0.33816080473710497,5460,-0.3583548032321222
to_lo480,short,2,5.7557661824489035,8.110559009199784,13968,-0.21010384791084338,0.049034578217354546,0.33440721649484534,4970,-0.33747202081762484
kyle_z,short,9,1.321506298378417,inf,13958,-0.210379837533102,0.048758588595095936,0.33543487605674166,5596,-0.26454240789014744
to_hi480,short,7,15.772787148530323,19.699545308023268,13968,-0.21049938586950145,0.048639040258696475,0.34213917525773196,5760,-0.3065893119741726
absorb_z,long,3,-0.11122244547977242,-0.0470671365506052,12945,-0.21050767277468288,1.0647624332889,0.34051757435303204,5682,-0.32538908831432617
avg_trade_usd,long,6,3932.495118448167,4248.256148754439,14015,-0.21051145115737205,1.064758654906211,0.3295754548697824,3840,-0.3595810975711693
ats_rank480,short,8,0.8104166666666667,0.9083333333333333,13585,-0.2106975372224201,0.04844088890577783,0.3355907250644093,5056,-0.29702375915274754
pos480,short,2,0.24514219042354396,0.3403448526883389,13968,-0.21114567450144286,0.047992751626755065,0.3502290950744559,5364,-0.29608023221781243
since_hi24,long,8,22.0,24.0,15049,-0.2112406056192543,1.0640295004443285,0.3439431191441292,5481,-0.3493326870943594
to_lo480,long,7,19.012853805514823,23.14962496965701,13969,-0.21173895590977543,1.0635311501538074,0.34619514639559024,4522,-0.35658358426219616
avg_trade_usd,long,4,3335.671043448776,3636.424511519627,14015,-0.21194518519667063,1.0633249208669122,0.3414199072422405,3753,-0.3619056192484459
