feature,thr,dir,n,frac,exp_r,lift,wr,monthly_R,pos_months,worst_month_R
absorb_z,0.034842608210733865,-1,900,0.26540843409023884,0.26757076241621425,0.12497072745990981,0.3888888888888889,3.648692214766559,0.5151515151515151,-13.049620833794828
absorb_z,0.06865668055424572,-1,1074,0.316720731347685,0.2666863667573014,0.12408633180099696,0.39106145251396646,4.3397145135960855,0.45454545454545453,-15.079195359296074
tbi_ma96,-0.011015744313588002,-1,870,0.2565614862872309,0.26589804797726757,0.12329801302096313,0.3850574712643678,3.5050197233367086,0.5,-14.96247726090889
absorb,-0.020775723571972354,-1,1070,0.315541138307284,0.263405295718107,0.12080526076180256,0.3841121495327103,4.336056406436532,0.5692307692307692,-13.345461504993303
since_hi480,17.0,-1,645,0.1902093777646712,0.2589800760001004,0.11638004104379598,0.4,2.6100335784385122,0.265625,-15.389670142389777
tbi_ma24,-0.012365537628191786,-1,901,0.2657033323503391,0.257186034917273,0.11458599996096855,0.38179800221975585,3.5109790524312574,0.5757575757575758,-14.697618514207587
persist96,0.20447868229993427,1,1201,0.35417281038041876,0.25436985590901745,0.11176982095271301,0.3930058284762698,4.628760559798938,0.42424242424242425,-29.57080037941715
tbi_ma24,0.0010557677204755572,1,569,0.16779710999705102,0.25292694180131126,0.11032690684500682,0.38488576449912126,2.2140835366914784,0.4307692307692308,-12.97591550106492
since_hi96,8.0,-1,1226,0.3615452668829254,0.2524794153126063,0.10987938035630188,0.40456769983686786,4.762150202665467,0.49230769230769234,-17.220329142516576
dq_cum24,0.05373394895375528,1,568,0.16750221173695076,0.25173184426134765,0.10913180930504321,0.38380281690140844,2.1997490390837764,0.4307692307692308,-12.97591550106492
dq_cum24,-0.5899741873224915,-1,902,0.2659982306104394,0.2501280176507269,0.10752798269442246,0.37915742793791574,3.418416241226601,0.5606060606060606,-14.697618514207587
ats_rank480,0.9291666666666667,1,985,0.29047478619876144,0.249823523582835,0.10722348862653056,0.4040609137055838,3.8449401676420703,0.546875,-19.208442039385485
disp24,4.936519589683862,1,580,0.17104099085815394,0.2497472548608101,0.10714721990450565,0.4051724137931034,2.228513966450306,0.4,-12.987471371962966
range_per_trade,1.6001385510401959e-07,1,597,0.17605426127985846,0.24917836272126767,0.10657832776496323,0.38023450586264657,2.5648186645620146,0.41379310344827586,-7.478460272973334
to_lo96,8.458996996651042,1,847,0.2497788263049248,0.24867696076766663,0.10607692581136219,0.4049586776859504,3.2910841526595886,0.375,-14.053007359556995
tbi_z24,-0.8661431796226875,-1,561,0.1654379239162489,0.2473801921161898,0.10478015715988537,0.38146167557932265,2.102731632987613,0.48484848484848486,-9.26778645467188
absorb_z,0.09804453362668711,-1,1251,0.36891772338543205,0.24609901275622667,0.10349897779992223,0.3820943245403677,4.66469492360666,0.5,-16.09471250091722
vol_of_vol,-0.5339233235818385,-1,808,0.23827779416101444,0.2460924508572357,0.10349241590093125,0.4146039603960396,3.1069171920726006,0.578125,-12.534660619377362
absorb_z,-0.007266660295054745,-1,703,0.2073134768504866,0.24554528866762737,0.10294525371132293,0.37695590327169276,2.6154293626263945,0.5151515151515151,-11.016713031914698
disp24,3.9232222006988247,1,871,0.2568563845473312,0.244527887392765,0.10192785243646055,0.40298507462686567,3.2766736910630505,0.4,-16.056496420212937
dow,2.0,1,2185,0.6443526983190799,0.2438655363401932,0.10126550138388876,0.37757437070938216,8.07342722580791,0.5909090909090909,-29.400145951720404
vol_of_vol,-0.6068013855201452,-1,681,0.20082571512828074,0.24371157834761142,0.10111154339130698,0.4155653450807636,2.634406108805133,0.5714285714285714,-12.436535028876042
flow_eff,0.601090526168981,-1,1410,0.41580654674137424,0.24282527935151252,0.10022524439520808,0.39290780141843973,5.18763096796413,0.6060606060606061,-17.16344081318145
persist96,0.234581446106029,1,932,0.27484517841344736,0.24150138963522433,0.09890135467891989,0.3873390557939914,3.4102923506065017,0.4090909090909091,-21.78502544608982
tbi_ma8,-0.01840221405991419,-1,525,0.15482158655263933,0.24115419892355575,0.09855416396725131,0.37333333333333335,1.918272036891921,0.4393939393939394,-8.26115821474088
persist96,0.18186158598914745,1,1418,0.41816573282217634,0.2402060080617852,0.09760597310548075,0.3899858956276446,5.160789688357748,0.4393939393939394,-25.848919500712974
disp96,6.594173799159288,1,761,0.224417575936302,0.23939604369573375,0.09679600873942931,0.40341655716162944,2.8465685820695836,0.3125,-12.786957406840436
flow_eff,0.7632096607210583,-1,1590,0.468888233559422,0.23846538781048204,0.0958653528541776,0.3918238993710692,5.744847979070704,0.5606060606060606,-17.2709193525326
since_hi96,4.0,-1,1112,0.3279268652314951,0.2383123464137927,0.09571231145748826,0.4037769784172662,4.076974295571345,0.46153846153846156,-14.121030418560432
since_lo96,82.0,1,859,0.25331760542612797,0.23766011820232508,0.09506008324602064,0.3981373690337602,3.189844398996832,0.5,-14.466548220413918
since_lo96,86.0,1,720,0.21232674727219109,0.2357695159366317,0.09316948098032726,0.4,2.6524070542871065,0.46875,-10.183348360550875
since_lo96,71.0,1,1123,0.33117074609259806,0.23515235029854184,0.0925523153422374,0.39715048975957257,4.062709067465578,0.46153846153846156,-16.286464650932558
tbi_ma24,-0.011043984768457502,-1,1062,0.3131819522264819,0.23337939361849208,0.09077935866218764,0.3747645951035782,3.7552866064066452,0.5606060606060606,-17.755511153364736
flow_eff,0.47992579290450516,-1,1254,0.36980241816573284,0.2331744222967609,0.09057438734045647,0.38915470494417864,4.430314023638458,0.5909090909090909,-16.85842299657423
ats_rank480,0.9708333333333333,1,659,0.1943379534060749,0.23289764750439934,0.0902976125480949,0.4006069802731411,2.43618332865713,0.4444444444444444,-12.57862431751092
to_lo24,5.108208310759423,1,836,0.24653494544382187,0.23233065360118255,0.08973061864487811,0.39832535885167464,2.988129637085978,0.49230769230769234,-15.022542131188967
ats_z96,1.949395050670381,1,712,0.20996756119138896,0.2308312168709692,0.08823118191466475,0.398876404494382,2.4901791880625765,0.5151515151515151,-13.436824060913452
atr_rank,0.44375,-1,871,0.2568563845473312,0.23033172690606205,0.0877316919497576,0.4052812858783008,3.1346708458621886,0.5,-14.514019587558604
tbi_ma8,-0.01258172037738434,-1,1078,0.31790032438808613,0.22963071801504878,0.08703068305874434,0.37755102040816324,3.7506350609124635,0.5303030303030303,-13.629372830625282
dq_cum24,-0.5266450998603455,-1,1059,0.3122972574461811,0.22933178266154902,0.08673174770524458,0.37393767705382436,3.6797326945239455,0.5606060606060606,-17.755511153364736
to_lo24,5.918916827082892,1,558,0.1645532291359481,0.22916999683170408,0.08656996187539964,0.3996415770609319,1.9673362804937058,0.46153846153846156,-15.79587720155883
since_lo96,66.0,1,1230,0.3627248599233264,0.22849490521962235,0.08589487026331791,0.3926829268292683,4.323826668002084,0.47692307692307695,-21.49615772237489
vol_of_vol,-0.3148288538875244,-1,1253,0.3695075199056326,0.22805981327732122,0.08545977832101678,0.4038308060654429,4.464983531820055,0.640625,-17.683888374447257
to_lo480,4.110734364759986,-1,784,0.23120023591860808,0.226491845113125,0.08389181015682057,0.3711734693877551,2.8640259123982257,0.27419354838709675,-23.181959060073748
to_lo96,1.6271763349378408,-1,974,0.2872309053376585,0.22608856466656405,0.0834885297102596,0.38295687885010266,3.336519120988385,0.3484848484848485,-12.677091494595272
pos480,0.17292150617469862,-1,759,0.22382777941610144,0.22518400083450962,0.08258396587820518,0.38603425559947296,2.756688010216013,0.24193548387096775,-27.12586984271398
since_hi96,24.0,-1,1561,0.4603361840165143,0.2251785658235532,0.08257853086724876,0.3869314541960282,5.32581426137222,0.5,-23.573162809258633
disp24,3.207838273789324,1,1077,0.31760542612798587,0.2251074671822745,0.08250743222597007,0.39740018570102137,3.673344578110753,0.4090909090909091,-15.314974941924211
since_hi96,18.0,-1,1446,0.4264228841049838,0.22470937635555382,0.08210934139924939,0.38865836791147995,4.923178154698953,0.5,-19.62223852217032
tbi_ma8,-0.016081334728438892,-1,702,0.2070185785903863,0.22438776904276345,0.08178773408645901,0.36894586894586895,2.386669907091211,0.45454545454545453,-11.590533948392583
ats_rank480,0.88125,1,1272,0.3751105868475376,0.22407320614524576,0.08147317118894132,0.3915094339622642,4.4534549721367584,0.546875,-19.325222620776504
flow_eff,0.37794219297028003,-1,1130,0.3332350339132999,0.223610372038652,0.08101033708234756,0.384070796460177,3.828480612176921,0.5909090909090909,-16.11272277749542
vol_of_vol,-0.4610722557011541,-1,968,0.2854615157770569,0.2235573812485571,0.08095734629225265,0.40289256198347106,3.3813053913844264,0.59375,-14.495721659761315
