variant,n,expR,moR,maxDD_R,monthly_ret,pct_target,pct_stop,pct_signal_exit,pct_stop_moved,avg_loss,avg_win,ltf,buf,rr
SEQ,3391,0.027119407404227275,1.4159436296689145,53.73865312103406,0.0015809219778692527,0.07225007372456503,0.06812149808316131,0.8596284281922737,0.0,-0.35998539791115075,0.6174326175947665,5min,0.05,1.7151601736555915
SEQ_TIGHT,3391,0.02473357773876399,1.2913759993393052,54.729652545170254,0.001415732721789332,0.07225007372456503,0.15659097611324094,0.771158950162194,0.875552934237688,-0.3519673396735825,0.6359621351487431,5min,0.05,1.8068782624505437
BASE,3391,0.14480444285100985,7.560450173062546,104.92718180875835,0.004323255447864207,0.34739015039811266,0.5567679150693011,0.0,0.0,-0.982098062469669,1.771018937200664,15min,0.05,1.803301528512444
TIGHTEN,3391,0.11967500264410803,6.248405619590403,54.730601328661294,0.006849994848843264,0.22913594809790622,0.765555883220289,0.0,0.658802713063993,-0.6062322211176805,1.3645855497199695,15min,0.05,2.250928773142659
REDDOT,3391,-0.015783818411828132,-0.8240960725637128,84.05924430497686,-0.0005882251828773014,0.008552049542907697,0.07490415806546741,0.9165437923916249,0.0,-0.2994673851997967,0.2634179132074599,15min,0.05,0.8796213752349507
BOTH,3391,-0.013128278538293963,-0.6854464807339004,75.13458097406489,-0.0005473749678357859,0.008552049542907697,0.11058684753759952,0.8808611029194928,0.10881745797699793,-0.2878169742121497,0.26367465813245944,15min,0.05,0.9161192068474219
SEQ,3391,0.09128128487330801,4.7659283957733924,45.505097432449816,0.006284036731728603,0.1686818047773518,0.19374815688587438,0.6375700383367738,0.0,-0.5677314889137284,1.022811084689005,15min,0.05,1.8015754008043579
SEQ_TIGHT,3391,0.09393682474684219,4.904577987603204,46.359316037600365,0.0063476924253480504,0.1686818047773518,0.22943084635800648,0.6018873488646417,0.6582129165437924,-0.5551720265133026,1.0340901501099113,15min,0.05,1.8626481535901618
BASE,3391,0.14480444285100985,7.560450173062546,104.92718180875835,0.004323255447864207,0.34739015039811266,0.5567679150693011,0.0,0.0,-0.982098062469669,1.771018937200664,30min,0.05,1.803301528512444
TIGHTEN,3391,0.14188077610270228,7.407801287862508,68.2925414728748,0.006508296040619447,0.2863462105573577,0.6974343851371277,0.0,0.4621055735771159,-0.7465749715616542,1.5691463507518222,30min,0.05,2.1017934039089843
REDDOT,3391,-0.006077992833874767,-0.3173408292452881,75.04175577215847,-0.0002537314000558281,0.01739899734591566,0.10793276319669715,0.8746682394573873,0.0,-0.3534984941753212,0.36223839528327223,30min,0.05,1.0247240122715102
BOTH,3391,-0.004519361442908871,-0.2359624216663618,68.47666206682418,-0.0002067528537849234,0.01739899734591566,0.1312297257446181,0.8513712769094662,0.0784429371866706,-0.34447229066251217,0.36275493816182813,30min,0.05,1.0530743632939346
SEQ,3391,0.11511633595205763,6.010391013807148,62.330418286520114,0.0057856736845678935,0.23650840460041286,0.321144205249189,0.4423473901503981,0.0,-0.7160033366758565,1.3043026202282701,30min,0.05,1.8216432150772839
SEQ_TIGHT,3391,0.11667496734302353,6.091769421386075,62.51535334736582,0.005846662391112689,0.23650840460041286,0.34444116779711,0.4190504276024771,0.4606310822766146,-0.7052204232235377,1.315843586501777,30min,0.05,1.865861428809878
BASE,3391,0.14480444285100985,7.560450173062546,104.92718180875835,0.004323255447864207,0.34739015039811266,0.5567679150693011,0.0,0.0,-0.982098062469669,1.771018937200664,1h,0.05,1.803301528512444
TIGHTEN,3391,0.14578855706646257,7.611832204884514,98.2522059376013,0.004648342782075768,0.32084930698908876,0.6484812739604836,0.0,0.3019758183426718,-0.8443745373358464,1.7109093691468242,1h,0.05,2.0262446266381398
REDDOT,3391,0.016392567006107125,0.855879720387997,69.41049053075632,0.000739841813976592,0.03479799469183132,0.1185491005603067,0.846652904747862,0.0,-0.3836621126657476,0.4716880883224362,1h,0.05,1.2294361959409272
BOTH,3391,0.018236032823224006,0.9521297468488323,67.58837988295568,0.0008452308652738742,0.03479799469183132,0.12857564140371572,0.836626363904453,0.05514597463874963,-0.37487931669295,0.4725804100771366,1h,0.05,1.2606201223531626
